"Id","G","Date","Home","Opp","Wins","Tm","Opper","ORtg","DRtg","Pace","FTr","3PAr","TSP","TRBP","ASTP","STLP","BLKP","eFGP","TOVP","ORBP","FT_FGA","OppFGP","OppTOVP","DRBP","OppFT_FGA"
"1","1","2013-10-30","0","DAL","0","109","118","108.3","117.2","100.7",".461",".316",".596","44.0","73.0","15.9","9.4",".539","15.7","12.5",".355",".643","18.6","80.0",".247"
"2","2","2013-11-01","1","TOR","1","102","95","108.9","101.4","93.6",".403",".299",".563","46.8","66.7","7.5","4.6",".532","12.5","17.9",".260",".494","11.3","75.0",".091"
"3","3","2013-11-03","0","LAL","0","103","105","99.6","101.6","103.4",".289",".244",".508","49.5","65.0","8.7","4.7",".494","9.8","17.5",".156",".478","11.5","87.5",".225"
"4","4","2013-11-05","0","SAC","1","105","100","111.6","106.3","94.1",".321",".272",".568","48.0","66.7","11.7","14.3",".531","13.2","23.7",".235",".500","16.8","73.0",".250"
"5","5","2013-11-07","0","DEN","0","107","109","109.4","111.4","97.8",".202",".277",".523","50.5","72.1","11.2","14.8",".500","9.7","27.1",".138",".570","14.6","76.7",".128"
"6","6","2013-11-09","1","ORL","1","104","94","107.0","96.8","97.2",".189",".211",".533","52.0","83.7","9.3","9.2",".511","11.0","20.6",".133",".512","15.9","78.0",".122"
"7","7","2013-11-11","0","CHA","1","103","94","109.5","100.0","94.0",".368",".355",".583","50.6","74.3","7.4","4.4",".526","12.8","16.7",".303",".438","13.0","77.8",".284"
"8","8","2013-11-13","1","NYK","0","91","95","102.5","107.0","88.8",".273",".312",".528","56.0","62.9","1.1","11.1",".487","14.8","21.6",".208",".489","3.1","83.0",".102"
"9","9","2013-11-15","1","PHI","1","113","103","111.6","101.7","101.2",".383",".284",".597","52.4","64.1","5.9","7.5",".543","13.7","16.7",".309",".494","14.3","80.4",".209"
"10","10","2013-11-16","0","NYK","1","110","90","122.2","100.0","90.0",".218",".282",".643","42.9","45.5","10.0","6.7",".622","13.2","14.7",".167",".433","12.6","62.0",".133"
"11","11","2013-11-19","0","MIA","0","88","104","97.0","114.6","90.7",".203",".324",".546","51.3","66.7","8.8","5.0",".520","22.9","32.5",".149",".568","14.4","72.2",".148"
"12","12","2013-11-20","1","DET","1","93","85","100.4","91.7","92.7",".338",".211",".570","46.9","63.9","11.9","12.3",".535","20.5","15.2",".239",".437","14.0","68.8",".103"
