"Id","G","Date","Home","Opp","Wins","Tm","Opper","ORtg","DRtg","Pace","FTr","3PAr","TSP","TRBP","ASTP","STLP","BLKP","eFGP","TOVP","ORBP","FT_FGA","OppFGP","OppTOVP","DRBP","OppFT_FGA"
"1","1","2012-10-30","0","MIA","0","107","120","113.2","127.0","94.5",".373",".173",".613","53.2","61.5","4.2","3.2",".560","14.7","18.4",".307",".595","7.9","87.2",".329"
"2","2","2012-11-02","1","MIL","0","88","99","92.8","104.4","94.8",".284",".189",".529","43.9","66.7","9.5","5.9",".480","17.8","14.6",".230",".512","16.5","73.2",".128"
"3","3","2012-11-03","0","WAS","1","89","86","97.8","94.5","91.0",".155",".250",".496","43.2","66.7","8.8","6.9",".476","9.1","13.3",".107",".474","14.9","80.6",".154"
"4","4","2012-11-07","1","WAS","1","100","94","96.4","90.7","93.9",".420",".160",".521","50.0","76.5","8.7","7.6",".444","14.3","15.0",".346",".463","16.2","79.2",".063"
"5","5","2012-11-09","1","PHI","0","100","106","105.0","111.3","95.2",".408",".132",".558","44.9","83.8","7.4","4.3",".513","13.5","18.9",".289",".530","14.8","75.0",".232"
"6","6","2012-11-10","0","MIL","1","96","92","105.5","101.1","91.0",".472",".208",".552","47.6","62.5","4.4","5.8",".479","13.9","20.0",".375",".415","10.0","67.3",".216"
"7","7","2012-11-12","0","CHI","1","101","95","113.1","106.4","89.3",".198",".198",".574","45.9","68.3","10.1","7.7",".525","8.3","15.8",".198",".480","12.9","77.8",".324"
"8","8","2012-11-14","1","UTA","1","98","93","113.2","107.4","86.6",".403",".139",".578","40.7","66.7","9.2","6.0",".528","9.6","11.8",".306",".445","11.3","61.7",".244"
"9","9","2012-11-15","0","BRK","0","97","102","111.6","117.4","86.9",".333",".173",".564","48.4","48.6","9.2","4.8",".513","13.1","29.3",".267",".471","10.2","64.0",".259"
"10","10","2012-11-17","1","TOR","1","107","89","121.2","100.8","88.3",".250",".197",".634","51.4","86.0","7.9","4.2",".605","13.4","21.2",".197",".486","15.2","76.9",".300"
"11","11","2012-11-18","0","DET","0","83","103","93.1","115.6","89.1",".268",".239",".523","43.5","37.5","7.9","0.0",".479","17.6","17.9",".211",".569","16.1","76.7",".292"
"12","12","2012-11-21","1","SAS","0","100","112","105.6","118.2","94.7",".221",".104",".592","37.9","51.2","9.5","8.2",".552","12.4","2.8",".195",".636","16.6","80.0",".182"
"13","13","2012-11-23","1","OKC","1","108","100","113.4","105.0","95.2",".300",".213",".596","47.4","71.8","10.5","1.8",".544","14.2","20.0",".263",".506","15.2","77.8",".253"
"14","14","2012-11-25","0","ORL","1","116","110","110.6","104.9","95.0",".181",".171",".512","54.8","55.3","8.6","3.1",".481","11.7","34.7",".143",".517","15.5","77.3",".189"
"15","15","2012-11-28","1","BRK","0","83","95","91.2","104.4","91.0",".320",".093",".485","44.4","43.8","7.7","10.3",".433","16.6","19.5",".240",".463","12.9","65.3",".232"
"16","16","2012-11-30","1","POR","1","96","78","102.7","83.5","93.4",".274",".219",".587","49.3","55.6","17.1","7.4",".534","18.8","15.6",".247",".370","19.8","75.6",".391"
"17","17","2012-12-01","0","MIL","0","88","91","96.2","99.5","91.4",".207",".232",".492","50.6","76.5","8.7","13.6",".451","15.2","25.0",".171",".481","13.8","78.0",".190"
"18","18","2012-12-05","1","MIN","1","104","94","107.3","97.0","96.9",".333",".218",".581","52.3","58.5","6.2","9.2",".551","15.2","17.6",".231",".476","11.8","75.0",".167"
"19","19","2012-12-07","0","PHI","0","94","95","93.2","94.2","91.3",".309",".272",".511","49.5","68.6","6.0","8.0",".469","16.4","15.9",".222",".384","7.5","73.0",".192"
"20","20","2012-12-08","1","PHI","1","92","79","115.7","99.3","79.5",".160",".187",".573","47.1","62.5","7.5","3.2",".560","12.1","22.6",".107",".418","8.5","67.6",".165"
"21","21","2012-12-12","1","DAL","1","117","115","100.9","99.2","95.9",".300",".220",".517","45.7","55.8","13.8","7.2",".460","10.3","17.3",".250",".554","21.3","82.5",".141"
"22","22","2012-12-14","0","HOU","0","89","101","94.7","107.4","94.0",".200",".235",".481","47.7","64.7","16.0","10.2",".447","11.5","19.1",".153",".553","16.5","82.1",".224"
