"Id","G","Date","Home","Opp","Wins","Tm","Opper","ORtg","DRtg","Pace","FTr","3PAr","TSP","TRBP","ASTP","STLP","BLKP","eFGP","TOVP","ORBP","FT_FGA","OppFGP","OppTOVP","DRBP","OppFT_FGA"
"1","1","2016-10-26","0","BOS","0","117","122","113.6","118.4","103.0",".206",".454",".553","48.4","51.2","7.8","5.3",".521","13.1","30.0",".165",".601","16.4","70.7",".169"
"2","2","2016-10-28","1","IND","1","103","94","103.2","94.1","99.8",".230",".379",".538","51.5","52.6","6.0","5.4",".494","14.3","25.5",".195",".413","10.9","74.1",".133"
"3","3","2016-10-29","0","MIL","0","108","110","106.2","108.1","101.7",".333",".405",".561","50.6","62.2","11.8","9.1",".506","15.7","23.4",".274",".511","12.4","81.0",".227"
"4","4","2016-10-31","1","CHI","0","88","118","87.0","116.6","101.2",".219",".323",".418","43.7","42.4","11.9","4.8",".370","12.5","26.2",".177",".567","16.4","69.0",".191"
"5","5","2016-11-02","1","DET","1","109","101","112.0","103.8","97.3",".224",".355",".653","54.2","65.9","10.3","4.8",".625","18.5","15.2",".184",".472","11.8","80.0",".205"
"6","6","2016-11-04","1","CHO","0","95","99","92.3","96.2","103.0",".241",".414",".494","48.4","57.1","11.7","7.1",".454","13.5","14.3",".184",".477","14.2","84.8",".198"
"7","7","2016-11-08","1","MIN","1","119","110","116.8","108.0","101.8",".342",".434",".680","51.2","47.6","4.9","7.8",".632","18.6","16.1",".303",".489","13.3","71.7",".217"
"8","8","2016-11-09","0","NYK","0","96","110","94.9","108.7","101.2",".342",".418",".528","44.4","57.6","8.9","6.5",".487","16.5","14.6",".241",".533","12.3","78.6",".130"
"9","9","2016-11-12","0","PHO","1","122","104","113.2","96.5","107.8",".357",".440",".628","50.0","55.0","5.6","13.5",".571","14.9","13.6",".310",".411","9.4","74.2",".150"
"10","10","2016-11-14","0","LAC","0","95","127","97.1","129.8","97.8",".286",".429",".548","46.3","52.9","6.1","3.1",".506","19.5","20.9",".221",".611","10.0","75.7",".189"
"11","11","2016-11-15","0","LAL","0","118","125","109.2","115.7","108.1",".202",".414",".547","46.1","51.1","7.4","9.4",".515","11.5","18.0",".162",".495","9.0","73.1",".370"
"12","12","2016-11-18","0","OKC","0","105","124","102.8","121.4","102.1",".361",".349",".546","39.5","54.3","5.9","3.2",".488","14.3","16.3",".289",".590","13.8","69.7",".213"
"13","13","2016-11-20","1","POR","0","109","129","108.4","128.3","100.5",".333",".376",".511","41.9","59.5","5.0","6.1",".452","7.8","20.8",".269",".665","13.7","75.8",".188"
"14","14","2016-11-23","1","BOS","0","92","111","90.5","109.1","101.7",".256",".360",".481","46.9","52.9","6.9","11.7",".453","16.6","18.8",".163",".536","11.4","75.0",".061"
"15","15","2016-11-25","0","IND","0","97","118","99.0","120.5","98.0",".291",".430",".544","44.7","66.7","8.2","6.6",".525","17.6","19.1",".177",".615","13.0","76.3",".126"
"16","16","2016-11-27","1","SAC","0","105","122","107.3","124.7","97.9",".161",".460",".564","48.3","50.0","7.2","1.6",".529","13.9","20.0",".149",".610","12.0","78.6",".198"
"17","17","2016-11-29","1","LAC","1","127","122","105.5","101.4","99.6",".346",".365",".530","49.1","48.9","7.5","4.3",".495","9.8","15.1",".231",".482","10.6","80.7",".156"
"18","18","2016-12-01","1","MIL","0","93","111","97.4","116.3","95.5",".180",".449",".484","45.5","58.8","9.4","19.6",".449","15.0","26.1",".146",".544","16.3","66.7",".300"
"19","19","2016-12-03","0","MIL","0","103","112","98.9","107.5","104.2",".363",".451",".488","50.0","61.8","5.8","8.2",".434","11.7","20.4",".264",".506","9.8","83.7",".306"
"20","20","2016-12-05","1","WAS","0","113","118","113.0","118.0","100.0",".370",".333",".600","58.8","62.5","5.0","5.2",".562","18.2","32.5",".272",".565","9.1","82.2",".152"
"21","21","2016-12-07","1","DEN","1","116","111","115.2","110.2","100.7",".365",".306",".588","42.0","43.9","10.9","7.4",".535","13.2","23.8",".294",".452","13.0","55.2",".152"
"22","22","2016-12-10","0","SAS","0","101","130","99.0","127.4","102.0",".287",".310",".515","49.0","58.3","5.9","2.9",".454","14.0","21.2",".253",".606","8.9","81.8",".170"
"23","23","2016-12-12","0","HOU","0","118","122","110.8","114.5","106.5",".450",".250",".616","51.3","50.0","8.4","8.3",".569","16.5","17.6",".338",".555","11.6","76.1",".231"
"24","24","2016-12-14","1","LAL","1","107","97","111.4","101.0","96.0",".465",".407",".516","55.5","57.6","7.3","6.3",".448","12.6","38.0",".349",".418","8.6","70.0",".231"
"25","25","2016-12-16","0","ORL","0","111","118","106.2","112.9","104.5",".313",".325",".588","47.9","53.8","4.8","8.8",".536","15.3","14.3",".265",".438","5.7","75.0",".340"
"26","26","2016-12-18","0","PHI","0","107","108","106.4","107.4","100.6",".383",".420",".565","47.8","72.2","8.0","8.3",".519","14.5","17.1",".284",".500","14.8","73.5",".227"
"27","27","2016-12-20","0","TOR","0","104","116","101.2","112.9","102.8",".308",".385",".503","52.0","55.6","8.8","6.8",".451","13.4","28.0",".242",".505","11.1","76.0",".264"
"28","28","2016-12-22","1","GSW","0","101","117","92.3","106.9","109.5",".186",".407",".543","47.4","57.9","5.5","9.0",".517","21.8","14.9",".140",".510","9.8","78.0",".106"
"29","29","2016-12-23","0","CLE","0","99","119","94.3","113.3","105.0",".212",".353",".533","46.3","57.9","5.7","10.9",".494","17.0","14.9",".176",".495","9.1","77.1",".212"
"30","30","2016-12-26","1","CHO","1","120","118","120.3","118.2","99.8",".413",".413",".677","47.0","65.0","4.0","11.8",".633","14.5","11.1",".333",".511","9.5","74.5",".234"
"31","31","2016-12-28","0","CHI","0","99","101","103.0","105.0","96.2",".186",".372",".532","40.7","56.8","9.4","8.0",".506","13.1","19.6",".140",".415","15.2","62.2",".318"
"32","32","2016-12-30","0","WAS","0","95","118","96.4","119.7","98.6",".338",".338",".559","42.1","56.3","9.1","0.0",".500","19.8","14.3",".284",".633","17.6","76.5",".157"
"33","33","2017-01-02","1","UTA","0","89","101","94.4","107.1","94.3",".295",".346",".505","48.9","39.4","5.3","7.2",".462","14.5","19.0",".218",".457","8.1","75.0",".172"
"34","34","2017-01-05","0","IND","0","109","121","110.2","122.3","98.9",".144",".422",".569","50.6","53.7","5.1","11.3",".550","12.0","17.8",".111",".570","5.6","84.1",".161"
"35","35","2017-01-06","1","CLE","0","108","116","98.8","106.1","109.3",".209",".330",".543","53.1","51.2","5.5","1.8",".500","16.1","19.6",".187",".483","10.1","89.4",".352"
"36","36","2017-01-08","1","PHI","0","95","105","89.7","99.1","105.9",".218",".346",".556","46.5","58.3","5.7","11.9",".526","20.5","9.1",".167",".436","10.9","85.7",".245"
"37","37","2017-01-10","1","ATL","0","97","117","96.2","116.0","100.8",".264",".333",".499","47.5","62.9","5.0","5.8",".460","14.9","26.9",".195",".516","9.9","69.4",".239"
"38","38","2017-01-12","1","NOP","0","95","104","88.4","96.8","107.4",".113",".433",".466","50.0","55.0","9.3","10.3",".459","13.6","14.6",".062",".483","13.7","82.7",".189"
"39","39","2017-01-13","0","TOR","0","113","132","113.4","132.5","99.6",".233",".419",".596","41.7","65.0","5.0","1.4",".564","10.4","10.0",".186",".593","7.0","70.5",".175"
"40","40","2017-01-15","1","HOU","0","112","137","107.3","131.3","104.4",".204",".473",".552","42.2","70.7","8.6","10.4",".522","13.6","18.8",".161",".614","10.9","69.0",".261"
"41","41","2017-01-17","1","TOR","0","109","119","112.1","122.4","97.2",".270",".292",".547","48.2","50.0","7.2","8.2",".489","11.5","24.4",".247",".576","8.3","75.0",".141"
"42","42","2017-01-20","0","NOP","1","143","114","137.7","109.7","103.9",".422",".361",".727","52.5","50.0","4.8","8.5",".669","14.0","23.7",".386",".462","7.3","70.5",".162"
"43","43","2017-01-21","0","CHO","0","105","112","105.9","112.9","99.2",".170",".466",".555","46.5","78.9","9.1","5.8",".528","11.3","9.1",".136",".561","12.4","85.7",".244"
"44","44","2017-01-23","1","SAS","0","86","112","89.5","116.5","96.1",".222",".309",".484","43.2","43.8","2.1","6.8",".426","15.2","11.9",".210",".521","7.3","71.7",".137"
"45","45","2017-01-25","1","MIA","0","106","109","108.5","111.5","97.7",".325",".438",".580","45.2","57.1","3.1","6.7",".519","14.1","10.5",".288",".548","9.6","82.9",".217"
"46","46","2017-01-27","0","CLE","0","116","124","114.3","122.1","101.5",".184",".379",".617","44.0","53.5","8.9","3.6",".586","9.6","9.5",".161",".603","12.2","78.6",".141"
"47","47","2017-01-28","0","MIN","0","109","129","105.5","124.8","103.4",".294",".247",".568","44.9","48.8","5.8","8.2",".524","12.7","12.2",".235",".554","9.3","72.9",".280"
"48","48","2017-01-30","0","MIA","0","96","104","100.8","109.2","95.2",".253",".299",".496","60.9","43.2","7.4","7.1",".448","14.2","34.1",".207",".543","10.7","88.4",".183"
"49","49","2017-02-01","1","NYK","0","90","95","89.7","94.7","100.3",".182",".284",".473","45.8","45.9","4.0","9.7",".449","17.4","24.5",".125",".384","10.3","63.8",".192"
"50","50","2017-02-03","1","IND","0","97","106","96.1","105.0","101.0",".267",".326",".505","47.3","62.5","6.9","6.1",".436","16.5","19.6",".256",".477","12.3","74.5",".279"
"51","51","2017-02-05","1","TOR","0","95","103","97.7","105.9","97.3",".276",".447",".557","48.3","59.4","8.2","10.3",".507","19.8","15.9",".237",".489","10.3","81.4",".207"
