"Id","G","Date","Home","Opp","Wins","Tm","Opper","ORtg","DRtg","Pace","FTr","3PAr","TSP","TRBP","ASTP","STLP","BLKP","eFGP","TOVP","ORBP","FT_FGA","OppFGP","OppTOVP","DRBP","OppFT_FGA"
"1","1","2013-10-29","0","MIA","0","95","107","97.9","110.2","97.1",".277",".313",".510","50.6","65.7","11.3","7.7",".464","16.2","23.9",".217",".590","17.5","85.7",".306"
"2","2","2013-10-31","1","NYK","1","82","81","92.5","91.3","88.7",".250",".211",".486","53.3","64.5","5.6","4.8",".428","17.6","31.0",".224",".413","14.0","72.9",".116"
"3","3","2013-11-02","0","PHI","0","104","107","106.2","109.2","98.0",".204",".151",".513","56.7","66.7","8.2","7.8",".468","15.1","37.0",".183",".552","13.8","77.3",".140"
"4","4","2013-11-06","0","IND","0","80","97","90.2","109.4","88.7",".370",".205",".471","43.5","57.7","4.5","7.4",".390","16.7","23.9",".315",".459","12.8","63.0",".209"
"5","5","2013-11-08","1","UTA","1","97","73","106.6","80.2","91.0",".347",".111",".584","54.5","68.4","13.2","9.2",".549","19.4","32.4",".250",".335","15.0","68.5",".188"
"6","6","2013-11-11","1","CLE","1","96","81","110.4","93.2","86.9",".313",".193",".508","51.9","70.6","10.4","11.5",".434","10.4","34.1",".289",".447","17.7","71.1",".187"
"7","7","2013-11-15","0","TOR","1","96","80","104.1","86.8","92.2",".238",".200",".543","52.7","58.3","6.5","8.2",".494","14.5","25.6",".213",".384","14.9","77.1",".207"
"8","8","2013-11-16","1","IND","1","110","94","121.4","103.8","90.6",".304",".241",".614","53.2","62.5","6.6","8.7",".576","12.7","26.5",".241",".424","8.5","73.3",".259"
"9","9","2013-11-18","1","CHA","1","86","81","92.7","87.4","92.7",".413",".160",".485","55.1","63.0","3.2","10.7",".400","15.3","22.0",".347",".401","8.4","78.9",".088"
"10","10","2013-11-21","0","DEN","0","87","97","91.3","101.8","95.3",".143",".102",".418","54.7","57.9","4.2","4.8",".403","14.0","38.6",".082",".506","13.8","73.5",".143"
"11","11","2013-11-22","0","POR","0","95","98","104.4","107.7","91.0",".349",".169",".496","57.1","34.4","8.8","1.6",".416","12.8","37.0",".313",".477","11.3","77.8",".159"
"12","12","2013-11-24","0","LAC","0","82","121","88.8","131.1","92.3",".284",".148",".450","47.0","75.0","2.2","1.6",".420","13.3","22.4",".173",".634","9.1","82.4",".207"
