"Id","G","Date","Home","Opp","Wins","Tm","Opper","ORtg","DRtg","Pace","FTr","3PAr","TSP","TRBP","ASTP","STLP","BLKP","eFGP","TOVP","ORBP","FT_FGA","OppFGP","OppTOVP","DRBP","OppFT_FGA"
"1","1","2015-10-27","0","CHI","0","95","97","95.5","97.5","99.5",".181",".309",".468","51.5","68.4","5.0","10.3",".452","9.0","21.6",".106",".466","11.8","84.8",".184"
"2","2","2015-10-28","0","MEM","1","106","76","110.8","79.4","95.7",".202",".345",".579","57.4","70.7","7.3","3.0",".565","17.2","29.3",".131",".366","14.9","79.2",".195"
"3","3","2015-10-30","1","MIA","1","102","92","112.1","101.1","91.0",".244",".291",".535","56.3","64.1","4.4","7.1",".488","10.4","30.4",".209",".468","13.0","85.4",".260"
"4","4","2015-11-02","0","PHI","1","107","100","110.4","103.2","96.9",".247",".272",".596","53.8","66.7","5.2","14.8",".568","15.1","20.0",".185",".488","12.0","80.0",".200"
"5","5","2015-11-04","1","NYK","1","96","86","102.9","92.2","93.3",".386",".325",".494","54.5","63.6","5.4","3.3",".440","10.2","22.5",".277",".440","11.7","81.3",".143"
"6","6","2015-11-06","1","PHI","1","108","102","112.6","106.4","95.9",".136",".295",".579","54.2","64.4","9.4","0.0",".568","15.4","26.2",".091",".582","15.7","82.9",".127"
"7","7","2015-11-08","1","IND","1","101","97","110.6","106.2","91.4",".301",".289",".537","50.5","65.8","5.5","5.6",".506","9.6","23.9",".205",".467","6.6","75.5",".144"
"8","8","2015-11-10","1","UTA","1","118","114","125.4","121.2","94.1",".581",".324",".635","48.6","64.9","9.6","10.0",".574","14.7","31.4",".446",".549","14.5","64.9",".293"
"9","9","2015-11-13","0","NYK","1","90","84","99.8","93.1","90.2",".397",".359",".491","51.6","36.4","6.7","1.9",".462","11.6","25.0",".231",".424","13.7","78.7",".215"
"10","10","2015-11-14","0","MIL","0","105","108","99.4","102.3","87.4",".297",".418",".510","51.4","56.8","5.7","9.3",".484","16.3","28.0",".187",".451","9.7","72.7",".157"
"11","11","2015-11-17","0","DET","0","99","104","100.9","106.0","98.1",".250",".413",".557","45.5","55.3","8.2","3.2",".544","13.6","7.5",".150",".470","11.7","77.1",".298"
"12","12","2015-11-19","1","MIL","1","115","100","132.7","115.4","86.6",".423",".338",".683","66.2","72.5","3.5","3.1",".641","16.8","44.8",".338",".541","11.5","83.3",".288"
"13","13","2015-11-21","1","ATL","1","109","97","116.4","103.6","93.6",".224",".341",".584","57.3","65.9","4.3","13.8",".547","13.0","29.7",".188",".436","11.0","76.9",".256"
"14","14","2015-11-23","1","ORL","1","117","103","129.1","113.7","90.6",".272",".432",".645","51.3","79.1","5.5","5.1",".642","9.9","21.1",".160",".556","10.0","78.6",".160"
"15","15","2015-11-25","0","TOR","0","99","103","110.9","115.4","89.2",".195",".354",".556","51.2","61.1","4.5","3.7",".524","10.1","20.9",".159",".576","9.2","84.6",".152"
"16","16","2015-11-27","0","CHO","1","95","90","102.1","96.7","93.1",".309",".309",".516","56.8","50.0","3.2","3.6",".469","14.8","27.9",".235",".444","10.8","84.4",".238"
"17","17","2015-11-28","1","BRK","1","90","88","91.4","89.4","98.5",".195",".310",".476","51.6","57.1","9.1","17.2",".454","16.7","24.0",".126",".432","14.9","82.2",".222"
"18","18","2015-12-01","1","WAS","0","85","97","86.4","98.6","98.3",".277",".361",".456","54.7","53.6","8.1","5.5",".392","16.2","21.3",".241",".512","11.8","94.9",".145"
"19","19","2015-12-04","0","NOP","0","108","114","108.4","114.4","90.2",".270",".371",".542","48.3","46.2","8.0","1.7",".494","12.3","25.5",".225",".547","13.2","73.8",".247"
"20","20","2015-12-05","0","MIA","0","84","99","90.0","106.1","93.3",".282",".329",".440","46.8","45.2","8.6","1.9",".400","12.8","22.4",".188",".596","15.7","89.3",".265"
"21","21","2015-12-08","1","POR","1","105","100","117.8","112.2","89.2",".253",".266",".598","45.5","45.0","11.2","7.5",".563","8.4","18.8",".203",".576","17.3","70.6",".114"
"22","22","2015-12-11","0","ORL","1","111","76","120.6","82.6","92.0",".375",".292",".662","60.0","68.3","13.0","0.0",".646","17.7","27.3",".250",".431","19.0","85.7",".194"
"23","23","2015-12-15","0","BOS","1","89","77","100.9","87.3","88.2",".128",".295",".540","52.9","47.2","5.7","12.7",".513","14.5","17.1",".115",".374","9.7","76.9",".138"
"24","24","2015-12-17","1","OKC","1","104","100","117.5","113.0","88.5",".148",".330",".555","53.8","70.7","6.8","1.9",".534","14.6","37.2",".114",".514","12.2","74.3",".324"
"25","25","2015-12-20","1","PHI","1","108","86","111.4","88.7","96.9",".247",".294",".573","44.9","62.5","11.4","9.7",".535","9.6","15.4",".200",".378","16.1","68.0",".244"
"26","26","2015-12-23","1","NYK","1","91","84","105.4","97.3","86.3",".301",".265",".484","52.2","71.9","7.0","6.1",".416","6.9","28.6",".265",".421","11.0","79.1",".183"
"27","27","2015-12-25","0","GSW","0","83","89","86.5","92.8","95.9",".263",".316",".392","52.9","40.0","6.3","6.7",".342","9.4","29.3",".189",".442","15.1","82.6",".256"
