"Id","G","Date","Home","Opp","Wins","Tm","Opper","ORtg","DRtg","Pace","FTr","3PAr","TSP","TRBP","ASTP","STLP","BLKP","eFGP","TOVP","ORBP","FT_FGA","OppFGP","OppTOVP","DRBP","OppFT_FGA"
"1","1","2012-10-30","0","LAL","1","99","91","108.7","99.9","91.1",".212",".176",".533","46.5","55.0","9.9","7.8",".500","10.6","22.5",".165",".513","13.4","67.4",".156"
"2","2","2012-10-31","0","UTA","0","94","113","93.6","112.5","100.5",".306",".259",".487","39.6","62.5","8.0","6.7",".441","14.2","16.3",".224",".461","11.5","61.5",".348"
"3","3","2012-11-03","1","CHA","1","126","99","130.3","102.4","96.7",".188",".313",".727","53.1","63.3","6.2","9.5",".713","20.3","25.8",".150",".445","9.0","70.0",".198"
"4","4","2012-11-05","1","POR","1","114","91","127.5","101.8","89.4",".167",".256",".681","43.5","60.4","13.4","7.0",".679","9.7","7.4",".103",".414","11.4","60.3",".151"
"5","5","2012-11-07","1","TOR","1","109","104","120.3","114.8","90.6",".417",".250",".548","55.3","53.8","4.4","10.2",".512","10.0","36.4",".274",".475","7.8","75.6",".333"
"6","6","2012-11-09","0","NYK","0","94","104","95.9","106.1","98.0",".284",".346",".516","53.8","51.5","4.1","4.8",".457","18.0","22.0",".247",".464","8.2","78.8",".310"
"7","7","2012-11-10","0","CHA","0","97","101","96.5","100.5","91.1",".380",".241",".526","44.8","65.6","9.0","9.3",".462","17.1","20.0",".304",".437","13.7","62.5",".189"
"8","8","2012-11-12","1","MIN","0","82","90","92.4","101.4","88.8",".313",".200",".451","41.7","55.2","7.9","4.0",".388","8.1","14.3",".250",".492","17.7","80.0",".400"
"9","9","2012-11-14","1","WAS","1","107","101","119.5","112.8","89.5",".423",".141",".578","54.1","51.3","6.7","7.4",".519","12.3","35.9",".333",".562","15.7","74.3",".123"
"10","10","2012-11-16","0","IND","0","83","103","89.6","111.2","92.6",".309",".160",".451","48.9","53.3","3.2","7.5",".383","10.7","18.2",".259",".506","7.6","78.3",".229"
"11","11","2012-11-17","0","CLE","1","103","95","108.5","100.1","95.0",".270",".311",".622","52.5","68.4","6.3","19.7",".581","19.5","24.2",".230",".417","9.5","72.3",".156"
"12","12","2012-11-19","1","GSW","0","101","105","97.4","101.3","93.9",".279",".244",".523","41.0","64.9","11.6","16.4",".488","14.2","14.0",".198",".456","16.1","65.5",".242"
"13","13","2012-11-21","1","NYK","1","114","111","120.8","117.6","94.4",".247",".341",".605","53.2","52.4","8.5","2.2",".571","12.1","25.6",".200",".604","13.9","86.1",".234"
"14","14","2012-11-24","1","LAL","0","89","115","85.5","110.5","104.0",".217",".304",".441","39.0","64.7","8.7","10.0",".424","13.0","15.3",".120",".561","16.4","73.2",".280"
"15","15","2012-11-27","0","PHI","0","98","100","106.4","108.5","92.1",".272",".235",".540","48.1","62.2","11.9","1.6",".488","14.2","25.0",".235",".507","16.0","68.3",".320"
"16","16","2012-11-28","0","CHI","0","78","101","87.9","113.9","88.7",".247",".222",".434","40.5","64.3","11.3","10.2",".370","13.5","24.4",".222",".536","18.5","65.5",".391"
"17","17","2012-12-01","1","DET","1","92","77","100.3","83.9","91.7",".086",".269",".477","48.5","73.7","8.7","14.1",".468","11.9","26.0",".054",".371","13.9","70.6",".165"
"18","18","2012-12-05","0","LAC","0","90","112","88.7","110.4","101.5",".226",".226",".487","45.6","58.8","7.9","8.6",".435","19.2","22.9",".202",".533","14.6","71.4",".178"
"19","19","2012-12-06","0","PHO","1","97","94","105.9","102.7","91.6",".308",".154",".548","51.2","40.5","8.7","6.3",".500","15.3","27.5",".244",".447","11.1","71.7",".212"
"20","20","2012-12-08","0","HOU","1","116","109","115.1","108.2","100.8",".275",".264",".569","51.9","55.8","6.9","5.4",".527","10.5","25.0",".220",".569","17.6","87.9",".375"
"21","21","2012-12-10","1","SAC","1","119","96","125.9","101.6","94.5",".241",".230",".618","46.9","54.2","10.6","12.3",".592","7.7","19.4",".184",".512","17.3","68.9",".119"
"22","22","2012-12-12","0","BOS","0","115","117","99.2","100.9","95.9",".185",".250",".578","54.3","57.4","6.9","9.0",".554","21.3","17.5",".141",".460","10.3","82.7",".250"
"23","23","2012-12-14","0","TOR","0","74","95","83.4","107.0","88.8",".333",".188",".468","44.7","63.0","4.5","2.1",".391","17.7","10.8",".290",".476","9.6","70.8",".179"
"24","24","2012-12-15","0","MIN","0","106","114","104.6","112.5","91.8",".298",".167",".558","46.1","61.5","9.9","11.3",".506","16.7","26.2",".250",".468","12.9","63.8",".277"
"25","25","2012-12-18","1","PHI","1","107","100","121.7","113.7","88.0",".403",".153",".631","46.7","48.7","10.2","7.8",".569","11.5","18.8",".347",".506","12.3","67.4",".151"
"26","26","2012-12-20","1","MIA","0","95","110","99.5","115.3","95.4",".219",".229",".451","43.4","62.2","10.5","12.0",".401","7.9","25.0",".188",".603","17.3","74.2",".205"
"27","27","2012-12-21","0","MEM","0","82","92","89.2","100.1","91.9",".224",".276",".491","47.2","64.5","7.6","7.9",".447","20.9","26.8",".184",".421","13.3","64.6",".191"
"28","28","2012-12-23","0","SAS","0","91","129","93.0","131.8","97.8",".392",".189",".524","48.8","64.7","10.2","1.9",".493","18.7","21.4",".243",".679","14.8","78.9",".179"
"29","29","2012-12-27","0","OKC","0","105","111","105.0","111.0","90.6",".168",".253",".515","45.1","55.0","9.0","7.4",".479","11.3","20.4",".147",".473","10.2","67.9",".247"
"30","30","2012-12-28","1","DEN","0","85","106","87.8","109.5","96.8",".239",".284",".437","41.7","51.5","9.3","7.6",".403","12.6","23.2",".159",".521","14.5","63.8",".085"
"31","31","2012-12-30","1","SAS","0","86","111","91.3","117.8","94.2",".105",".168",".433","51.1","60.5","6.4","9.7",".405","10.0","26.9",".095",".556","10.7","84.2",".259"
"32","32","2013-01-01","0","WAS","1","103","94","114.2","104.3","90.2",".207",".268",".576","48.8","61.0","6.7","7.5",".561","10.1","20.0",".134",".468","13.4","73.9",".253"
"33","33","2013-01-02","0","MIA","0","109","119","104.8","114.4","94.2",".213",".298",".530","50.5","46.3","6.7","7.9",".489","11.2","17.0",".181",".528","8.1","84.8",".281"
"34","34","2013-01-05","1","NOH","0","96","99","102.3","105.5","85.0",".153",".224",".529","48.8","53.8","6.4","15.4",".500","9.0","13.6",".129",".500","9.7","85.7",".151"
