"Id","G","Date","Home","Opp","Wins","Tm","Opper","ORtg","DRtg","Pace","FTr","3PAr","TSP","TRBP","ASTP","STLP","BLKP","eFGP","TOVP","ORBP","FT_FGA","OppFGP","OppTOVP","DRBP","OppFT_FGA"
"1","1","2015-10-28","0","HOU","1","105","85","108.2","87.6","97.0",".228",".342",".604","52.7","65.0","9.3","19.2",".589","19.5","23.7",".152",".391","14.0","72.7",".195"
"2","2","2015-10-30","1","MIN","0","78","95","80.6","98.2","96.8",".211",".263",".376","51.0","51.7","7.2","6.7",".332","11.9","28.8",".158",".437","16.0","82.9",".465"
"3","3","2015-11-01","0","OKC","0","93","117","97.2","122.3","95.6",".207",".283",".463","41.2","57.1","8.4","4.9",".429","11.5","27.5",".152",".599","16.8","61.8",".163"
"4","4","2015-11-03","0","LAL","1","120","109","121.1","110.0","99.1",".365",".235",".608","55.1","69.8","5.0","11.7",".547","12.4","27.5",".318",".453","8.9","77.6",".360"
"5","5","2015-11-05","1","UTA","0","84","96","96.2","109.9","87.3",".472",".278",".483","51.1","57.1","4.6","9.8",".424","13.0","26.2",".319",".500","9.8","73.9",".129"
"6","6","2015-11-06","0","GSW","0","104","119","96.9","110.8","107.4",".239",".261",".511","45.4","59.0","12.1","8.9",".467","15.7","20.0",".196",".586","16.5","72.3",".108"
"7","7","2015-11-09","1","POR","1","108","104","111.3","107.2","97.0",".416",".247",".593","54.7","50.0","5.2","11.3",".565","13.3","21.6",".273",".451","8.0","79.6",".242"
"8","8","2015-11-11","1","MIL","1","103","102","117.5","116.4","87.6",".304",".304",".575","52.2","69.2","11.4","10.5",".544","13.5","35.9",".215",".595","16.2","73.3",".101"
"9","9","2015-11-13","1","HOU","1","107","98","107.3","98.3","99.7",".395",".247",".563","53.5","67.6","10.0","8.3",".512","15.9","27.3",".296",".487","18.1","81.0",".299"
"10","10","2015-11-14","0","PHO","0","81","105","79.8","103.5","101.4",".082",".357",".399","42.4","38.2","7.9","10.0",".378","9.0","16.1",".071",".506","17.3","76.7",".238"
"11","11","2015-11-17","0","NOP","1","115","98","129.6","110.4","88.8",".153",".353",".634","56.6","60.0","5.6","10.0",".618","12.5","30.6",".118",".536","9.3","80.0",".108"
"12","12","2015-11-18","0","SAS","0","98","109","105.9","117.8","92.6",".184",".153",".463","50.0","65.8","7.6","7.4",".413","5.4","29.8",".173",".541","9.5","76.7",".186"
"13","13","2015-11-20","1","PHO","0","107","114","111.9","119.3","95.6",".289",".267",".527","47.5","58.5","8.4","7.7",".483","9.8","30.4",".222",".601","17.4","70.6",".241"
"14","14","2015-11-22","1","GSW","0","105","118","101.3","113.8","103.7",".407",".174",".518","47.1","62.2","8.7","5.0",".453","15.8","27.1",".314",".612","18.1","71.8",".101"
"15","15","2015-11-24","1","LAC","0","94","111","98.6","116.4","95.3",".372",".321",".518","52.7","51.6","3.1","0.0",".449","15.0","20.0",".308",".519","6.6","78.4",".367"
