"Id","G","Date","Home","Opp","Wins","Tm","Opper","ORtg","DRtg","Pace","FTr","3PAr","TSP","TRBP","ASTP","STLP","BLKP","eFGP","TOVP","ORBP","FT_FGA","OppFGP","OppTOVP","DRBP","OppFT_FGA"
"1","1","2015-10-27","0","ATL","1","106","94","111.2","98.6","95.3",".271",".302",".493","59.6","62.2","5.2","5.5",".448","12.3","41.1",".208",".500","14.5","83.7",".146"
"2","2","2015-10-28","1","UTA","1","92","87","102.4","96.9","89.8",".459",".257",".517","53.1","53.3","2.2","6.3",".453","10.1","19.0",".338",".480","12.5","89.7",".200"
"3","3","2015-10-30","1","CHI","1","98","94","92.7","88.9","95.7",".269",".269",".421","55.0","46.2","8.5","3.2",".404","10.7","32.3",".135",".446","16.6","83.7",".226"
"4","4","2015-11-03","1","IND","0","82","94","87.9","100.7","93.3",".198",".256",".439","54.3","42.4","8.6","7.7",".413","19.7","38.8",".128",".472","13.9","72.1",".125"
"5","5","2015-11-06","0","PHO","1","100","92","100.8","92.8","99.2",".486",".297",".557","50.5","40.5","8.1","4.8",".554","14.3","14.6",".243",".457","14.1","78.8",".087"
"6","6","2015-11-08","0","POR","1","120","103","124.3","106.7","96.5",".229",".313",".568","53.5","34.0","13.5","9.8",".547","7.8","35.3",".156",".599","20.8","80.0",".158"
"7","7","2015-11-09","0","GSW","0","95","109","98.5","113.0","96.4",".176",".224",".519","50.0","37.5","9.3","4.3",".506","17.9","30.0",".106",".538","14.2","69.0",".121"
"8","8","2015-11-11","0","SAC","0","92","101","96.0","105.3","95.9",".225",".360",".470","49.5","47.1","10.4","5.2",".433","14.1","26.4",".169",".561","17.6","81.6",".243"
"9","9","2015-11-14","0","LAC","0","96","101","105.4","110.9","91.1",".473",".365",".537","50.0","45.5","8.8","3.3",".493","14.4","26.2",".311",".513","12.6","73.8",".253"
"10","10","2015-11-15","0","LAL","0","85","97","87.1","99.4","97.6",".156",".281",".414","50.0","45.7","7.2","3.6",".401","8.9","23.5",".083",".453","14.8","82.9",".387"
"11","11","2015-11-17","1","CLE","1","104","99","106.0","100.9","98.1",".369",".250",".533","54.5","55.6","11.2","2.1",".470","11.7","22.9",".298",".544","13.6","92.5",".150"
"12","12","2015-11-20","0","MIN","1","96","86","98.9","88.6","97.0",".149",".322",".518","52.9","32.5","11.3","7.8",".494","13.1","19.0",".115",".448","16.2","86.0",".221"
"13","13","2015-11-21","1","WAS","0","95","97","106.4","108.7","89.3",".266",".329",".538","47.5","55.6","3.4","3.4",".506","12.8","19.5",".190",".532","11.2","76.9",".179"
"14","14","2015-11-23","0","MIL","0","88","109","97.7","121.0","90.1",".264",".308",".433","51.6","61.3","7.8","4.3",".374","14.3","40.0",".220",".572","11.7","68.4",".169"
"15","15","2015-11-25","1","MIA","1","104","81","119.7","93.2","86.9",".071",".316",".514","55.7","58.5","6.9","11.9",".500","6.5","35.3",".061",".443","13.1","78.3",".139"
"16","16","2015-11-27","0","OKC","0","87","103","94.1","111.4","92.5",".222",".322",".440","39.6","54.8","9.7","1.8",".394","7.5","22.0",".178",".513","16.6","67.6",".278"
"17","17","2015-11-29","0","BRK","0","83","87","83.3","87.3","99.7",".208",".238",".376","50.0","55.9","11.0","1.4",".366","11.3","30.2",".089",".457","17.8","82.1",".160"
"18","18","2015-11-30","1","HOU","1","116","105","120.1","108.7","96.6",".435",".271",".573","50.5","48.9","8.3","13.1",".576","9.8","32.6",".212",".460","13.8","66.7",".273"
"19","19","2015-12-02","1","PHO","1","127","122","118.8","114.1","96.9",".506",".310",".597","58.1","54.5","9.4","1.6",".575","14.5","33.3",".310",".557","12.6","78.7",".144"
"20","20","2015-12-04","1","MIL","1","102","95","104.5","97.4","97.6",".476",".280",".514","47.4","52.9","8.2","5.8",".457","8.3","16.0",".329",".471","13.1","80.9",".149"
"21","21","2015-12-06","1","LAL","1","111","91","111.9","91.7","99.2",".280",".258",".531","61.0","48.8","11.1","1.6",".489","13.3","35.4",".215",".431","13.9","84.6",".275"
"22","22","2015-12-07","0","CHO","0","84","104","85.5","105.8","98.3",".253",".391",".434","41.8","53.1","11.2","3.4",".425","11.0","14.0",".115",".476","12.3","70.8",".286"
"23","23","2015-12-09","1","MEM","0","92","93","100.1","101.2","91.9",".172",".333",".491","44.8","45.9","9.8","8.2",".471","11.4","26.0",".115",".489","15.4","65.2",".080"
"24","24","2015-12-11","0","PHI","1","107","95","112.0","99.4","95.6",".172",".290",".535","52.2","41.9","9.4","14.5",".516","12.3","35.4",".118",".488","18.8","70.5",".213"
"25","25","2015-12-12","1","IND","1","118","96","118.7","96.6","99.4",".211",".322",".600","58.2","57.8","11.1","9.1",".572","12.5","26.3",".167",".518","15.1","87.8",".134"
"26","26","2015-12-14","1","LAC","0","103","105","102.1","104.0","91.4",".348",".213",".502","58.1","45.9","7.9","0.0",".449","14.9","34.1",".258",".485","8.8","79.6",".113"
"27","27","2015-12-16","1","BOS","1","119","116","117.3","114.4","101.4",".551",".269",".614","45.0","34.2","4.9","6.3",".558","10.2","17.1",".410",".539","15.3","74.4",".225"
"28","28","2015-12-18","0","CHI","1","147","144","112.5","110.2","92.2",".371",".234",".510","50.8","50.0","5.4","4.1",".484","7.1","31.1",".218",".438","10.3","69.2",".325"
"29","29","2015-12-22","0","MIA","1","93","92","109.3","108.1","85.1",".179",".385",".553","51.8","45.7","3.5","4.3",".545","16.0","29.3",".103",".466","5.1","73.8",".114"
"30","30","2015-12-23","0","ATL","0","100","107","100.5","107.5","99.5",".371",".236",".483","52.3","47.4","7.0","13.0",".466","11.9","28.9",".191",".517","11.7","76.7",".169"
"31","31","2015-12-26","1","BOS","0","93","99","97.3","103.6","95.6",".275",".275",".456","52.0","45.7","11.5","3.3",".418","12.8","33.3",".187",".488","12.9","75.0",".202"
"32","32","2015-12-29","0","NYK","0","96","108","109.5","123.2","87.7",".191",".303",".498","52.0","56.8","6.8","6.3",".472","9.4","33.3",".135",".595","10.4","80.0",".177"
"33","33","2015-12-31","1","MIN","1","115","90","114.5","89.6","100.5",".326",".407",".585","59.1","58.5","7.0","4.2",".558","14.0","28.6",".221",".436","13.7","87.0",".174"
"34","34","2016-01-02","0","IND","0","82","94","86.7","99.4","94.6",".247",".215",".398","50.5","51.5","5.3","3.6",".371","8.8","22.6",".140",".500","13.2","85.7",".288"
"35","35","2016-01-04","1","ORL","1","115","89","132.4","102.4","86.9",".239",".341",".591","64.3","58.1","6.9","9.8",".568","9.3","41.9",".170",".481","8.5","87.8",".136"
"36","36","2016-01-06","0","BOS","1","99","94","104.8","99.5","94.5",".486",".365",".551","54.7","54.5","4.2","7.9",".514","16.7","29.7",".311",".407","8.9","73.5",".220"
"37","37","2016-01-09","1","BRK","1","103","89","109.7","94.8","93.9",".152",".293",".525","55.3","53.5","10.7","6.8",".511","8.4","25.0",".098",".494","13.9","87.8",".098"
"38","38","2016-01-12","1","SAS","0","99","109","98.6","108.5","100.4",".286",".253",".483","45.6","57.9","8.0","2.8",".451","10.5","22.4",".187",".512","14.9","73.2",".259"
"39","39","2016-01-14","0","MEM","0","101","103","109.8","112.0","92.0",".236",".444",".635","54.7","48.6","3.3","3.3",".618","20.1","25.0",".167",".546","14.7","84.4",".263"
