"Id","G","Date","Home","Opp","Wins","Tm","Opper","ORtg","DRtg","Pace","FTr","3PAr","TSP","TRBP","ASTP","STLP","BLKP","eFGP","TOVP","ORBP","FT_FGA","OppFGP","OppTOVP","DRBP","OppFT_FGA"
"1","1","2012-10-31","0","PHO","1","87","85","92.8","90.6","93.8",".267",".198",".453","52.7","57.6","9.6","5.1",".413","15.8","34.0",".186",".425","16.7","74.4",".213"
"2","2","2012-11-02","1","MEM","0","94","104","100.8","111.5","93.3",".213",".250",".537","47.4","58.3","5.4","7.8",".513","17.1","22.5",".150",".494","12.4","75.0",".364"
"3","3","2012-11-03","0","LAC","1","114","110","117.4","113.3","97.1",".464",".190",".563","59.3","53.7","7.2","4.1",".512","11.4","38.1",".333",".500","14.7","82.1",".571"
"4","4","2012-11-05","0","SAC","0","92","94","99.4","101.6","92.6",".359",".269",".509","46.9","67.7","5.4","3.2",".436","12.6","17.5",".308",".481","12.5","75.6",".198"
"5","5","2012-11-07","1","CLE","1","106","96","109.5","99.2","96.8",".295",".231",".601","53.0","66.7","11.4","7.4",".571","15.4","20.0",".218",".483","14.4","77.1",".151"
"6","6","2012-11-09","0","LAL","0","77","101","78.5","102.9","98.1",".233",".291",".406","44.8","41.4","5.1","4.8",".378","16.0","23.6",".140",".444","13.5","68.0",".233"
"7","7","2012-11-10","1","DEN","0","101","107","91.3","96.8","91.5",".225",".245",".450","45.4","59.0","9.9","5.6",".426","11.1","23.6",".137",".403","10.7","64.1",".142"
"8","8","2012-11-14","1","ATL","1","92","88","100.4","96.1","91.6",".352",".254",".561","60.3","69.7","7.6","1.8",".500","21.9","29.4",".296",".481","12.3","87.2",".167"
"9","9","2012-11-16","0","MIN","1","106","98","116.6","107.8","90.9",".306",".176",".550","59.5","48.8","3.3","8.2",".518","13.5","42.5",".212",".475","11.6","75.0",".291"
"10","10","2012-11-18","0","OKC","0","109","119","116.9","127.6","93.3",".268",".195",".594","46.7","53.5","8.6","6.3",".555","12.4","21.1",".220",".584","9.6","73.0",".265"
"11","11","2012-11-19","0","DAL","1","105","101","101.3","97.4","93.9",".330",".264",".504","59.0","51.4","9.6","3.1",".456","16.1","34.5",".242",".488","14.2","86.0",".198"
"12","12","2012-11-21","1","BRK","1","102","93","122.9","112.0","83.0",".253",".200",".612","55.1","60.0","3.6","1.7",".580","15.3","36.4",".200",".494","8.2","68.9",".133"
"13","13","2012-11-23","0","DEN","0","91","102","97.5","109.3","93.4",".225",".213",".518","53.6","62.9","8.6","7.7",".481","13.7","22.2",".175",".506","10.2","77.1",".202"
"14","14","2012-11-24","1","MIN","1","96","85","108.2","95.8","88.7",".372",".269",".529","55.2","54.5","1.1","5.1",".462","12.5","31.7",".308",".413","9.6","76.1",".163"
"15","15","2012-11-29","1","DEN","1","106","105","109.1","108.1","97.1",".151",".209",".578","51.8","65.9","10.3","7.9",".558","14.9","23.1",".116",".512","13.7","77.3",".226"
"16","16","2012-12-01","1","IND","1","103","92","113.9","101.7","90.5",".238",".250",".583","53.2","57.9","5.5","5.8",".531","16.1","28.2",".225",".514","16.2","78.9",".216"
"17","17","2012-12-03","1","ORL","0","94","102","102.4","111.1","91.8",".222",".210",".529","50.0","62.2","5.4","7.2",".500","12.8","22.0",".160",".478","7.5","75.6",".152"
"18","18","2012-12-05","0","DET","1","104","97","116.0","108.1","89.7",".453",".320",".578","44.3","70.6","10.0","12.1",".513","10.0","23.7",".360",".481","15.5","63.4",".266"
"19","19","2012-12-07","0","BRK","1","109","102","120.4","112.7","90.5",".111",".211",".577","51.6","52.2","9.9","1.9",".561","10.4","34.1",".089",".489","11.8","68.1",".195"
"20","20","2012-12-08","0","WAS","1","101","97","104.8","100.6","96.4",".333",".272",".544","60.6","62.9","4.1","8.1",".488","17.0","30.2",".272",".477","7.6","86.3",".161"
"21","21","2012-12-10","0","CHA","1","104","96","110.6","102.1","94.0",".274",".238",".552","54.1","73.7","9.6","7.0",".500","14.5","34.1",".238",".428","13.4","72.7",".301"
"22","22","2012-12-12","0","MIA","1","97","95","103.6","101.5","93.6",".171",".293",".550","51.9","52.6","9.6","3.4",".518","12.9","20.0",".146",".519","16.4","84.6",".150"
"23","23","2012-12-14","0","ORL","0","85","99","93.2","108.5","91.2",".120",".217",".439","48.0","55.9","5.5","3.1",".408","11.0","28.6",".109",".529","14.2","71.7",".093"
"24","24","2012-12-15","0","ATL","1","115","93","114.9","92.9","100.1",".081",".242",".561","54.5","65.3","10.0","5.2",".545","9.7","22.2",".071",".399","9.9","81.5",".310"
"25","25","2012-12-18","1","NOH","1","103","96","117.8","109.8","87.5",".436",".231",".554","57.1","73.5","9.1","4.2",".474","13.1","38.1",".372",".527","14.5","80.0",".227"
"26","26","2012-12-19","0","SAC","0","127","131","129.1","133.1","98.4",".272",".283",".617","51.2","45.7","4.1","9.0",".571","10.4","32.6",".239",".564","7.9","71.8",".395"
