"Id","G","Date","Home","Opp","Wins","Tm","Opper","ORtg","DRtg","Pace","FTr","3PAr","TSP","TRBP","ASTP","STLP","BLKP","eFGP","TOVP","ORBP","FT_FGA","OppFGP","OppTOVP","DRBP","OppFT_FGA"
"1","1","2013-10-30","1","CHA","1","96","83","107.2","92.7","89.6",".316",".329",".555","59.3","47.2","4.5","7.5",".533","17.2","35.9",".197",".389","6.6","76.9",".144"
"2","2","2013-11-01","1","DAL","1","113","105","109.6","101.9","103.1",".699",".397",".592","54.3","50.0","10.7","5.5",".541","18.7","32.5",".466",".425","11.2","70.4",".200"
"3","3","2013-11-02","0","UTA","1","104","93","115.7","103.5","89.9",".522",".328",".631","50.6","47.1","6.7","11.9",".575","17.9","27.3",".403",".444","13.9","67.4",".259"
"4","4","2013-11-04","0","LAC","0","118","137","114.8","133.3","102.8",".524",".305",".585","54.8","51.2","6.8","5.4",".543","12.9","31.0",".354",".601","8.6","78.6",".255"
"5","5","2013-11-05","0","POR","1","116","101","118.3","103.0","98.1",".453",".293",".645","61.0","41.5","6.1","5.4",".587","18.2","34.5",".373",".471","12.3","77.1",".218"
"6","6","2013-11-07","1","LAL","0","98","99","92.8","93.8","105.6",".675",".351",".491","48.4","58.6","11.4","12.3",".422","14.5","19.0",".429",".478","19.6","73.5",".120"
"7","7","2013-11-09","1","LAC","0","94","107","99.1","112.8","94.9",".346",".333",".523","48.3","60.0","10.5","7.8",".494","16.7","25.0",".218",".528","11.7","68.1",".159"
"8","8","2013-11-11","1","TOR","1","110","104","98.2","92.8","92.7",".560",".310",".525","53.6","56.8","7.1","15.7",".482","18.0","29.5",".345",".368","9.4","69.7",".175"
"9","9","2013-11-13","0","PHI","0","117","123","106.0","111.5","99.9",".260",".427",".547","50.0","79.1","7.2","19.2",".526","15.1","27.1",".167",".471","9.9","71.2",".252"
"10","10","2013-11-14","0","NYK","1","109","106","119.7","116.4","91.1",".647",".412",".624","54.4","45.2","6.6","9.0",".522","13.8","29.7",".559",".483","8.3","76.2",".253"
"11","11","2013-11-16","1","DEN","1","122","111","121.8","110.8","100.1",".543",".259",".608","52.2","65.9","6.0","12.0",".562","13.8","32.4",".383",".495","10.8","66.0",".131"
"12","12","2013-11-19","1","BOS","1","109","85","113.7","88.7","95.8",".333",".292",".660","52.7","53.7","7.3","12.7",".632","18.7","19.4",".250",".359","10.0","70.0",".141"
"13","13","2013-11-20","0","DAL","0","120","123","129.9","133.1","92.4",".434",".408",".663","45.5","69.0","9.7","4.0",".632","10.8","21.6",".316",".660","14.8","75.9",".389"
"14","14","2013-11-23","1","MIN","1","112","101","115.4","104.0","97.1",".203",".392",".651","55.1","63.4","6.2","12.2",".627","21.1","29.7",".165",".440","8.5","70.5",".130"
"15","15","2013-11-25","0","MEM","1","93","86","107.2","99.1","86.7",".391",".348",".575","55.1","35.3","8.1","8.7",".536","18.2","34.4",".275",".439","14.3","69.6",".171"
"16","16","2013-11-27","1","ATL","1","113","84","123.7","92.0","91.3",".269",".346",".648","56.8","58.1","8.8","5.7",".641","13.0","23.5",".167",".480","18.1","85.0",".160"
"17","17","2013-11-29","1","BRK","1","114","95","124.7","103.9","91.4",".270",".432",".688","48.2","79.5","9.8","11.9",".655","16.2","19.4",".230",".449","10.0","69.4",".169"
"18","18","2013-11-30","0","SAS","1","112","106","107.1","101.4","104.6",".333",".333",".543","62.1","60.0","12.4","6.2",".517","13.4","29.3",".211",".533","13.4","91.3",".099"
"19","19","2013-12-02","0","UTA","0","103","109","117.7","124.6","87.5",".241",".337",".561","50.6","45.0","5.7","8.1",".536","8.0","26.2",".169",".608","11.3","78.4",".165"
"20","20","2013-12-04","1","PHO","0","88","97","93.1","102.6","94.5",".216",".352",".457","57.4","41.9","8.5","1.8",".403","18.6","39.6",".193",".525","17.1","80.5",".177"
"21","21","2013-12-06","1","GSW","1","105","83","105.2","83.2","99.8",".470",".337",".524","54.7","40.5","14.0","15.0",".482","13.0","29.8",".301",".368","19.5","79.2",".355"
"22","22","2013-12-08","1","ORL","1","98","88","103.6","93.0","94.6",".553",".434",".519","58.3","68.8","5.3","15.6",".487","16.0","34.9",".316",".387","6.2","75.0",".172"
"23","23","2013-12-12","0","POR","0","104","111","107.7","114.9","96.6",".255",".213",".497","48.0","40.0","11.4","9.7",".452","7.1","28.8",".202",".483","12.0","68.8",".281"
"24","24","2013-12-13","0","GSW","1","116","112","117.7","113.7","98.5",".443",".367",".614","36.4","51.3","10.1","4.4",".570","13.7","15.9",".329",".511","15.2","56.8",".222"
"25","25","2013-12-15","0","SAC","0","91","106","92.9","108.2","98.0",".507",".360",".496","49.4","48.4","6.1","7.4",".460","15.6","23.4",".293",".500","13.7","81.6",".309"
"26","26","2013-12-18","1","CHI","1","109","94","117.9","101.7","92.4",".195",".268",".612","52.9","52.3","8.7","7.5",".585","12.7","27.3",".159",".513","16.0","75.7",".165"
"27","27","2013-12-20","0","IND","0","81","114","84.9","119.6","95.4",".286",".262",".428","41.9","31.3","11.5","10.9",".405","12.9","22.6",".155",".605","15.8","72.7",".198"
"28","28","2013-12-21","0","DET","1","114","97","118.6","100.9","96.1",".291",".291",".640","54.9","75.0","4.2","5.2",".614","13.6","16.1",".215",".455","7.4","78.4",".180"
"29","29","2013-12-23","1","DAL","0","104","111","116.1","124.0","89.5",".414",".271",".628","52.2","60.5","5.6","1.8",".593","17.0","25.0",".300",".576","11.0","75.7",".253"
"30","30","2013-12-25","0","SAS","1","111","98","119.4","105.4","93.0",".209",".279",".591","52.1","62.2","3.2","12.7",".593","9.6","25.6",".105",".434","8.2","73.6",".209"
"31","31","2013-12-26","1","MEM","1","100","92","113.7","104.6","87.9",".563",".338",".564","45.6","54.8","3.4","9.3",".472","9.2","19.4",".465",".435","8.1","63.0",".118"
"32","32","2013-12-28","1","NOP","1","107","98","116.4","106.6","91.9",".416",".338",".587","52.8","50.0","6.5","7.0",".532","13.3","28.6",".325",".495","9.4","74.5",".065"
"33","33","2013-12-29","0","OKC","0","86","117","91.2","124.1","94.3",".365",".329",".436","43.7","25.8","4.2","6.7",".406","8.4","19.6",".200",".634","10.1","87.1",".159"
"34","34","2013-12-31","1","SAC","0","106","110","110.3","114.5","96.1",".407",".346",".555","52.4","41.0","10.4","11.1",".525","14.3","31.8",".259",".535","12.0","76.3",".224"
"35","35","2014-01-03","1","NYK","1","102","100","115.5","113.2","88.3",".378",".351",".591","50.0","47.1","4.5","6.2",".527","14.8","27.0",".324",".466","7.4","66.7",".191"
"36","36","2014-01-08","1","LAL","1","113","99","113.6","99.5","99.5",".581",".326",".523","52.5","46.2","12.1","4.7",".494","7.7","32.7",".326",".449","15.4","72.0",".227"
"37","37","2014-01-10","0","ATL","0","80","83","94.5","98.0","84.7",".314",".271",".502","52.4","51.7","3.5","3.7",".457","16.7","27.0",".229",".424","11.7","72.3",".116"
"38","38","2014-01-11","0","WAS","1","114","107","114.6","107.6","99.5",".575",".247",".623","47.8","57.9","7.0","6.6",".575","17.2","23.1",".411",".447","9.2","66.7",".232"
"39","39","2014-01-13","0","BOS","1","104","92","107.6","95.1","96.7",".430",".241",".553","47.9","64.9","6.2","10.7",".519","10.5","22.2",".278",".391","10.8","70.6",".129"
"40","40","2014-01-15","0","NOP","1","103","100","111.6","108.3","92.3",".569",".181",".572","46.3","48.6","9.7","24.6",".542","12.6","20.0",".347",".506","14.3","71.4",".286"
