"Id","G","Date","Home","Opp","Wins","Tm","Opper","ORtg","DRtg","Pace","FTr","3PAr","TSP","TRBP","ASTP","STLP","BLKP","eFGP","TOVP","ORBP","FT_FGA","OppFGP","OppTOVP","DRBP","OppFT_FGA"
"1","1","2012-10-31","0","TOR","1","90","88","98.8","96.6","91.1",".205",".141",".529","52.3","59.5","3.3","13.5",".506","17.5","25.0",".141",".396","9.1","71.2",".176"
"2","2","2012-11-02","0","CHA","0","89","90","95.3","96.4","93.4",".325",".313",".469","55.9","57.6","5.4","7.6",".440","15.2","31.1",".193",".406","9.5","79.2",".247"
"3","3","2012-11-03","1","SAC","1","106","98","99.6","92.1","88.1",".273",".222",".478","58.8","41.0","9.4","17.5",".414","15.9","40.4",".242",".402","12.6","74.2",".157"
"4","4","2012-11-05","0","SAS","0","79","101","90.0","115.1","87.8",".278",".253",".445","51.6","40.7","3.4","10.1",".380","17.6","33.3",".241",".517","7.9","73.8",".126"
"5","5","2012-11-07","0","ATL","0","86","89","95.4","98.7","90.2",".106",".306",".483","44.6","51.4","11.1","10.8",".459","14.4","24.4",".094",".477","15.6","63.8",".069"
"6","6","2012-11-09","0","MIN","0","94","96","106.1","108.4","88.6",".202",".214",".514","52.1","48.6","7.9","6.6",".470","12.4","27.5",".179",".514","12.7","83.9",".343"
"7","7","2012-11-10","1","WAS","1","89","85","101.5","97.0","87.7",".300",".200",".491","54.5","47.1","4.6","7.3",".469","11.7","28.6",".175",".506","12.8","87.2",".063"
"8","8","2012-11-13","1","TOR","0","72","74","87.6","90.0","82.2",".333",".200",".419","52.1","58.3","9.7","11.7",".353","12.2","27.5",".253",".403","13.0","81.4",".222"
"9","9","2012-11-14","0","MIL","0","85","99","91.9","107.0","92.5",".388",".250",".454","53.5","63.3","3.2","5.3",".406","16.9","33.3",".250",".434","5.6","72.5",".220"
"10","10","2012-11-16","1","DAL","1","103","83","111.2","89.6","92.6",".373",".193",".533","51.1","59.0","11.9","7.4",".506","7.6","21.7",".229",".383","10.7","81.8",".259"
"11","11","2012-11-18","0","NYK","0","76","88","86.5","100.2","87.8",".254",".282",".482","49.5","75.0","4.6","10.8",".451","19.4","21.4",".169",".406","7.5","71.7",".167"
"12","12","2012-11-19","0","WAS","1","96","89","104.0","96.4","92.3",".414",".271",".580","56.1","58.8","5.4","14.3",".507","19.5","26.7",".357",".379","9.0","73.1",".264"
"13","13","2012-11-21","1","NOH","1","115","107","124.5","115.8","83.7",".304",".293",".551","50.5","65.0","6.5","19.5",".516","7.1","34.7",".217",".457","8.0","66.7",".250"
"14","14","2012-11-23","1","SAS","0","97","104","104.4","112.0","92.9",".228",".174",".479","57.0","71.1","1.1","7.6",".451","11.4","38.0",".152",".506","9.7","83.3",".241"
"15","15","2012-11-27","0","LAL","1","79","77","81.7","79.7","96.7",".342",".241",".435","47.2","58.6","9.3","12.5",".392","15.8","19.6",".215",".355","16.7","72.7",".303"
"16","16","2012-11-30","0","SAC","1","97","92","109.3","103.7","88.7",".224",".306",".519","49.4","73.0","7.9","10.3",".488","8.8","22.7",".165",".467","12.2","79.5",".293"
"17","17","2012-12-01","0","GSW","0","92","103","101.7","113.9","90.5",".270",".297",".556","46.8","58.8","6.6","11.7",".514","16.2","21.1",".216",".531","16.1","71.8",".225"
"18","18","2012-12-04","0","CHI","1","80","76","93.9","89.2","85.2",".338",".125",".435","50.0","58.6","11.7","6.6",".375","11.6","32.7",".250",".411","18.8","69.8",".219"
"19","19","2012-12-05","1","POR","1","99","92","114.3","106.3","86.6",".238",".325",".560","55.4","55.6","6.9","12.3",".506","12.8","31.7",".225",".468","10.1","78.6",".228"
"20","20","2012-12-07","1","DEN","0","89","92","98.9","102.2","90.0",".237",".303",".530","53.2","79.4","5.6","13.0",".513","17.7","25.0",".145",".459","7.8","76.7",".151"
"21","21","2012-12-09","0","OKC","0","93","104","109.7","122.7","84.8",".159",".207",".530","45.9","34.2","4.7","7.0",".500","7.4","22.5",".134",".520","9.2","73.5",".329"
"22","22","2012-12-12","1","CLE","1","96","81","108.2","91.3","88.8",".337",".217",".504","54.5","67.6","7.9","13.6",".440","12.0","32.5",".277",".389","11.5","72.9",".222"
"23","23","2012-12-14","1","PHI","1","95","85","107.0","95.7","88.8",".351",".182",".534","57.1","54.3","4.5","14.5",".506","15.3","34.1",".221",".451","12.0","79.1",".148"
"24","24","2012-12-15","0","DET","1","88","77","102.2","89.4","86.1",".222",".333",".557","50.6","71.4","9.3","12.9",".535","14.1","14.3",".153",".404","10.0","77.1",".120"
"25","25","2012-12-18","0","MIL","0","93","98","98.1","103.4","94.8",".425",".100",".490","58.0","46.9","7.4","4.2",".413","17.4","41.9",".338",".465","13.3","73.3",".209"
"26","26","2012-12-19","1","UTA","1","104","84","111.3","89.9","93.5",".225",".200",".591","43.5","51.2","7.5","11.3",".569","14.6","15.8",".163",".384","13.4","66.0",".209"
"27","27","2012-12-21","0","CLE","1","99","89","102.2","91.9","96.9",".313",".200",".544","55.0","61.5","9.3","7.8",".519","15.7","26.8",".200",".431","14.9","84.6",".250"
"28","28","2012-12-22","0","NOH","1","81","75","99.6","92.2","81.3",".234",".221",".477","51.2","60.6","6.1","14.1",".455","14.2","32.5",".143",".427","12.4","67.4",".061"
"29","29","2012-12-28","1","PHO","1","97","91","111.1","104.2","87.3",".377",".208",".540","56.5","55.9","6.9","2.9",".494","14.3","37.2",".273",".476","11.0","76.2",".159"
"30","30","2012-12-29","0","ATL","0","100","109","113.6","123.8","88.0",".275",".188",".558","50.0","52.6","6.8","10.0",".506","10.0","29.7",".238",".613","15.7","71.4",".138"
"31","31","2012-12-31","1","MEM","1","88","83","103.5","97.6","85.0",".343",".357",".546","46.3","75.0","10.6","12.7",".486","18.3","29.7",".286",".396","14.7","60.0",".220"
"32","32","2013-01-02","1","WAS","1","89","81","94.0","85.5","94.7",".403",".208",".491","53.9","58.6","9.5","4.3",".409","15.0","25.0",".338",".440","17.9","82.2",".096"
"33","33","2013-01-04","0","BOS","0","75","94","78.5","98.4","95.5",".329",".200",".385","49.0","51.9","8.4","8.8",".341","15.6","30.2",".200",".472","12.6","72.1",".112"
"34","34","2013-01-05","1","MIL","1","95","80","108.9","91.7","87.3",".217",".217",".471","60.2","47.5","5.7","9.4",".451","10.6","45.8",".130",".409","12.6","74.0",".159"
"35","35","2013-01-08","1","MIA","1","87","77","107.1","94.7","81.3",".209",".242",".438","60.4","60.6","11.1","4.1",".412","8.3","43.1",".132",".471","15.6","82.5",".191"
"36","36","2013-01-10","1","NYK","1","81","76","97.5","91.5","83.1",".203",".266",".471","48.5","51.6","9.6","7.2",".424","10.4","27.3",".177",".371","11.2","65.5",".112"
"37","37","2013-01-12","1","CHA","1","96","88","109.1","100.0","88.0",".135",".315",".509","55.8","63.2","12.5","8.5",".489","12.9","37.0",".101",".481","14.1","77.5",".167"
"38","38","2013-01-13","0","BRK","0","86","97","100.1","112.9","85.9",".145",".289",".487","45.3","51.4","9.3","13.4",".458","9.3","22.5",".120",".444","10.4","65.2",".309"
"39","39","2013-01-15","0","CHA","1","103","76","112.6","83.1","91.5",".322",".253",".519","65.9","69.4","5.5","14.3",".460","13.9","40.0",".264",".368","11.4","91.3",".319"
"40","40","2013-01-16","0","ORL","0","86","97","95.1","107.2","90.5",".141",".200",".476","52.4","48.6","6.6","10.8",".447","14.2","27.3",".118",".535","12.0","80.0",".058"
"41","41","2013-01-18","1","HOU","1","105","95","116.0","105.0","90.5",".195",".218",".556","53.2","52.5","12.2","17.0",".523","12.1","35.9",".161",".488","16.7","71.1",".169"
"42","42","2013-01-21","0","MEM","1","82","81","99.7","98.5","82.3",".159",".246",".555","49.3","64.7","9.7","15.1",".551","21.3","30.0",".087",".446","14.8","64.1",".084"
"43","43","2013-01-23","0","POR","0","80","100","90.1","112.7","88.7",".213",".288",".457","44.7","53.3","9.0","3.0",".413","12.9","22.2",".175",".577","15.3","77.4",".128"
"44","44","2013-01-26","0","UTA","0","110","114","117.4","121.7","84.8",".220",".256",".612","60.0","47.7","9.6","6.8",".579","18.9","47.2",".183",".548","12.9","73.5",".277"
"45","45","2013-01-28","0","DEN","0","101","102","108.4","109.4","93.2",".200",".271",".546","51.2","59.0","6.4","7.8",".524","16.3","33.3",".141",".519","13.3","75.0",".269"
"46","46","2013-01-30","1","DET","1","98","79","106.2","85.6","92.3",".259",".173",".543","56.0","63.9","8.7","5.7",".488","15.9","34.9",".235",".381","11.5","71.9",".136"
"47","47","2013-02-01","1","MIA","1","102","89","123.7","107.9","82.5",".343",".243",".633","57.6","53.8","6.1","5.4",".607","13.0","29.6",".243",".507","12.0","81.3",".257"
"48","48","2013-02-04","1","CHI","1","111","101","121.2","110.3","91.6",".459",".189",".624","57.3","59.0","6.6","11.1",".568","15.2","36.1",".365",".466","9.3","73.9",".216"
"49","49","2013-02-05","1","ATL","1","114","103","114.4","103.3","99.7",".533",".333",".616","48.7","77.8","7.0","13.3",".553","11.5","12.8",".413",".494","14.6","86.5",".284"
"50","50","2013-02-06","0","PHI","1","88","69","102.3","80.2","86.0",".309",".210",".478","51.4","62.5","11.6","4.9",".426","8.9","31.4",".235",".360","14.0","70.4",".056"
"51","51","2013-02-08","1","TOR","0","98","100","101.6","103.7","87.4",".359",".282",".543","47.7","65.7","6.2","8.0",".506","16.6","25.6",".244",".448","11.8","65.3",".146"
"52","52","2013-02-11","1","BRK","0","84","89","91.8","97.3","82.9",".188",".229",".404","50.5","48.5","6.6","10.3",".370","7.1","29.3",".135",".413","10.5","76.6",".288"
"53","53","2013-02-13","1","CHA","1","101","77","113.6","86.6","88.9",".200",".200",".489","54.1","58.5","7.9","13.6",".463","6.3","38.3",".137",".348","14.5","68.6",".244"
"54","54","2013-02-20","1","NYK","1","125","91","123.6","90.0","101.1",".494",".304",".650","58.1","66.7","7.9","15.5",".601","17.9","35.0",".380",".366","12.8","75.5",".326"
"55","55","2013-02-22","1","DET","1","114","82","117.7","84.6","96.9",".452",".192",".651","53.4","70.7","10.3","9.5",".630","13.8","13.3",".301",".372","14.0","74.1",".256"
"56","56","2013-02-23","0","DET","1","90","72","99.7","79.7","90.3",".253",".293",".540","55.2","61.8","8.9","9.5",".507","19.3","25.6",".187",".351","13.8","79.2",".234"
"57","57","2013-02-26","1","GSW","1","108","97","118.7","106.6","91.0",".321",".250",".563","47.7","53.7","15.4","16.4",".524","11.1","31.1",".238",".513","18.8","65.1",".250"
"58","58","2013-02-28","1","LAC","0","91","99","102.6","111.6","88.7",".333",".333",".529","52.6","56.3","6.8","7.0",".487","18.9","34.1",".240",".513","11.0","74.3",".213"
"59","59","2013-03-01","0","TOR","1","93","81","108.3","94.3","85.9",".314",".286",".584","58.9","58.8","8.1","6.6",".536","19.3","31.3",".257",".424","13.5","80.5",".278"
"60","60","2013-03-03","1","CHI","1","97","92","110.1","104.4","88.1",".465",".183",".567","55.3","57.6","11.3","9.7",".507","14.1","27.8",".352",".481","11.0","80.0",".173"
"61","61","2013-03-06","1","BOS","0","81","83","90.8","93.0","89.2",".159",".307",".430","51.5","37.5","10.1","16.7",".398","12.9","29.6",".125",".452","13.0","79.1",".096"
"62","62","2013-03-08","0","ORL","1","115","86","124.4","93.0","92.5",".277",".229",".617","54.2","76.7","5.4","13.4",".584","11.4","33.3",".217",".421","18.1","72.7",".207"
"63","63","2013-03-10","0","MIA","0","91","105","105.2","121.4","86.5",".540",".429",".584","54.1","53.8","9.3","1.9",".492","17.0","20.0",".460",".610","12.8","87.1",".324"
"64","64","2013-03-13","1","MIN","1","107","91","121.2","103.1","88.3",".317",".305",".573","57.6","53.7","9.1","9.8",".555","11.4","36.6",".195",".475","12.0","77.3",".188"
"65","65","2013-03-15","1","LAL","0","93","99","94.7","100.8","98.2",".091",".273",".452","52.9","45.9","6.1","11.5",".434","13.4","29.3",".071",".506","14.1","84.1",".256"
"66","66","2013-03-16","0","PHI","0","91","98","102.8","110.7","88.5",".239",".182",".468","53.4","73.5","5.6","4.5",".420","11.8","36.0",".193",".532","12.1","76.3",".177"
"67","67","2013-03-18","0","CLE","1","111","90","116.7","94.6","95.2",".330",".250",".551","55.9","74.4","8.4","13.2",".489","12.2","34.1",".284",".413","9.8","72.4",".152"
"68","68","2013-03-19","1","ORL","1","95","73","100.6","77.3","94.4",".276",".264",".487","60.0","52.9","4.2","8.2",".425","13.3","31.9",".241",".335","9.3","82.8",".159"
"69","69","2013-03-22","1","MIL","1","102","78","109.4","83.7","93.2",".380",".152",".553","51.9","60.5","6.4","13.4",".500","13.2","26.8",".291",".322","6.7","67.2",".129"
"70","70","2013-03-23","0","CHI","0","84","87","98.4","101.9","85.4",".308",".179",".474","48.3","43.3","9.4","7.1",".417","7.3","20.9",".244",".451","9.9","73.9",".173"
"71","71","2013-03-25","1","ATL","1","100","94","105.9","99.5","94.4",".179",".274",".552","56.3","45.0","7.4","10.2",".524","18.1","34.9",".143",".494","15.0","77.3",".188"
"72","72","2013-03-27","0","HOU","1","100","91","110.5","100.5","90.5",".359",".231",".554","51.7","57.1","9.9","8.1",".487","11.7","25.0",".308",".422","12.9","70.6",".253"
"73","73","2013-03-28","0","DAL","1","103","78","113.2","85.7","91.0",".310",".179",".540","61.8","55.0","8.8","5.8",".518","12.0","35.7",".190",".410","11.0","85.1",".120"
"74","74","2013-03-30","0","PHO","1","112","104","119.8","111.2","93.5",".575",".188",".559","56.3","48.6","12.8","7.1",".488","12.3","42.2",".425",".524","15.0","74.3",".220"
"75","75","2013-04-01","0","LAC","1","109","106","124.4","120.9","87.7",".394",".324",".654","49.3","74.4","9.1","6.3",".620","14.4","29.0",".296",".519","13.3","65.0",".288"
"76","76","2013-04-05","1","OKC","0","75","97","91.0","117.7","82.4",".333",".292",".454","36.9","48.1","7.3","4.5",".389","11.8","19.1",".264",".500","12.0","59.5",".244"
"77","77","2013-04-06","0","WAS","0","85","104","90.3","110.5","94.2",".174",".233",".459","53.4","48.6","2.1","1.5",".424","13.1","22.2",".140",".519","8.9","86.0",".278"
"78","78","2013-04-09","1","CLE","1","99","94","112.2","106.5","88.3",".582",".203",".499","53.6","40.6","15.9","8.0",".430","8.3","41.9",".392",".476","15.7","65.9",".153"
"79","79","2013-04-12","1","BRK","0","109","117","117.9","126.5","92.5",".325",".238",".596","47.3","62.5","9.7","12.3",".550","14.9","30.8",".263",".585","13.0","65.7",".256"
"80","80","2013-04-14","0","NYK","0","80","90","91.5","103.0","87.4",".400",".431",".523","58.4","71.4","6.9","5.9",".492","25.4","35.1",".246",".494","11.2","80.0",".110"
"81","81","2013-04-17","1","PHI","0","95","105","100.9","111.5","94.1",".338",".325",".517","50.0","47.2","8.5","6.1",".488","14.8","28.9",".213",".553","14.9","74.4",".129"
