"Id","G","Date","Home","Opp","Wins","Tm","Opper","ORtg","DRtg","Pace","FTr","3PAr","TSP","TRBP","ASTP","STLP","BLKP","eFGP","TOVP","ORBP","FT_FGA","OppFGP","OppTOVP","DRBP","OppFT_FGA"
"1","1","2016-10-27","0","POR","1","114","106","113.1","105.2","100.8",".505",".319",".512","50.0","32.4","9.9","6.0",".451","5.9","27.8",".352",".482","12.4","78.6",".282"
"2","2","2016-10-30","1","UTA","1","88","75","99.1","84.4","88.8",".241",".325",".479","53.3","50.0","9.0","7.4",".446","12.4","28.0",".169",".445","18.6","83.3",".137"
"3","3","2016-10-31","1","PHO","1","116","98","109.7","92.7","105.7",".475",".200",".600","50.0","52.5","7.6","5.8",".538","14.2","12.8",".375",".446","17.0","79.6",".274"
"4","4","2016-11-02","1","OKC","0","83","85","81.9","83.9","101.3",".207",".253",".437","44.1","64.7","12.8","7.8",".431","15.2","16.0",".092",".435","18.5","76.7",".143"
"5","5","2016-11-04","0","MEM","1","99","88","103.5","92.0","95.7",".388",".318",".497","49.5","59.4","17.8","10.3",".424","10.0","23.9",".318",".423","16.1","73.5",".202"
"6","6","2016-11-05","0","SAS","1","116","92","123.9","98.2","93.7",".154",".253",".597","50.6","51.1","8.5","12.2",".566","7.6","17.5",".143",".473","15.0","82.9",".297"
"7","7","2016-11-07","1","DET","1","114","82","123.5","88.9","92.3",".289",".329",".665","54.1","68.3","8.7","10.0",".625","10.5","6.7",".250",".390","10.5","80.0",".220"
"8","8","2016-11-09","1","POR","1","111","80","118.6","85.5","93.6",".379",".368",".547","53.9","63.2","9.6","12.1",".500","6.5","28.0",".276",".386","12.9","78.8",".136"
"9","9","2016-11-11","0","OKC","1","110","108","110.8","108.7","99.3",".407",".314",".542","50.0","46.2","9.1","5.0",".517","9.0","23.4",".244",".523","14.2","79.1",".182"
"10","10","2016-11-12","0","MIN","1","119","105","126.4","111.5","94.2",".487",".316",".645","51.9","62.5","7.4","6.0",".599","13.2","27.3",".368",".494","11.7","68.8",".191"
"11","11","2016-11-14","1","BRK","1","127","95","129.8","97.1","97.8",".233",".278",".640","53.8","66.7","17.4","13.6",".611","10.0","24.3",".189",".506","19.5","79.1",".221"
"12","12","2016-11-16","1","MEM","0","107","111","114.4","118.7","93.5",".420",".309",".558","44.9","40.5","13.9","12.5",".512","7.7","19.0",".296",".579","14.2","75.0",".195"
"13","13","2016-11-18","0","SAC","1","121","115","120.7","114.7","100.2",".447",".382",".665","50.0","67.5","7.0","10.0",".612","13.3","15.2",".368",".500","12.1","78.0",".337"
"14","14","2016-11-19","1","CHI","1","102","95","121.5","113.1","84.0",".299",".351",".585","48.1","55.6","7.1","4.3",".539","13.0","29.7",".247",".487","12.1","64.3",".260"
"15","15","2016-11-21","1","TOR","1","123","115","124.4","116.3","98.9",".568",".338",".665","56.8","59.0","5.1","6.6",".595","13.1","17.6",".473",".550","10.5","90.0",".338"
"16","16","2016-11-23","0","DAL","1","124","104","126.3","105.9","98.2",".365",".376",".629","49.4","60.5","11.2","6.7",".594","8.4","15.0",".271",".518","14.8","78.7",".202"
"17","17","2016-11-25","0","DET","0","97","108","106.3","118.4","91.2",".356",".288",".574","44.0","74.3","4.4","7.0",".527","14.2","15.4",".274",".572","9.7","75.0",".056"
"18","18","2016-11-27","0","IND","0","70","91","75.1","97.7","93.2",".386",".343",".427","43.5","50.0","9.7","5.5",".343","19.6","13.3",".314",".462","12.0","72.3",".065"
"19","19","2016-11-29","0","BRK","0","122","127","101.4","105.5","99.6",".202",".367",".514","50.9","45.7","8.3","4.5",".482","10.6","19.3",".156",".495","9.8","84.9",".231"
"20","20","2016-12-01","0","CLE","1","113","94","119.3","99.2","94.7",".270",".348",".567","56.6","78.6","7.4","6.7",".545","9.9","31.8",".180",".471","17.3","84.6",".420"
"21","21","2016-12-02","0","NOP","1","114","96","124.1","104.5","91.9",".182",".273",".600","54.0","60.0","6.5","10.8",".568","8.7","28.6",".159",".488","10.5","77.8",".153"
