"Id","G","Date","Home","Opp","Wins","Tm","Opper","ORtg","DRtg","Pace","FTr","3PAr","TSP","TRBP","ASTP","STLP","BLKP","eFGP","TOVP","ORBP","FT_FGA","OppFGP","OppTOVP","DRBP","OppFT_FGA"
"1","1","2012-10-30","1","DAL","0","91","99","99.9","108.7","91.1",".403",".169",".502","53.5","63.2","6.6","7.1",".513","13.4","32.6",".156",".500","10.6","77.5",".165"
"2","2","2012-10-31","0","POR","0","106","116","113.1","123.7","93.8",".444",".250",".616","60.0","58.3","6.4","3.2",".556","21.8","42.9",".361",".560","11.2","75.0",".277"
"3","3","2012-11-02","1","LAC","0","95","105","101.8","112.5","93.3",".412",".235",".591","50.7","44.1","7.5","11.3",".551","19.9","20.0",".294",".500","10.3","77.5",".250"
"4","4","2012-11-04","1","DET","1","108","79","125.2","91.6","86.3",".338",".286",".611","58.2","67.5","12.8","12.1",".584","14.5","44.4",".234",".380","15.2","69.8",".241"
"5","5","2012-11-07","0","UTA","0","86","95","93.6","103.4","91.9",".622",".311",".456","56.5","44.0","10.9","4.5",".365","16.0","34.9",".432",".476","11.7","78.6",".193"
"6","6","2012-11-09","1","GSW","1","101","77","102.9","78.5","98.1",".311",".311",".494","55.2","61.1","9.2","9.8",".444","13.5","32.0",".233",".378","16.0","76.4",".140"
"7","7","2012-11-11","1","SAC","1","103","90","115.2","100.6","89.4",".370",".309",".547","56.2","63.9","6.7","10.4",".494","15.3","41.9",".284",".439","10.3","69.6",".122"
"8","8","2012-11-13","1","SAS","0","82","84","94.7","97.0","86.6",".297",".270",".490","55.8","58.1","5.8","12.9",".459","16.9","32.5",".189",".428","7.8","76.1",".078"
"9","9","2012-11-16","1","PHO","1","114","102","119.8","107.2","95.1",".315",".236",".563","55.8","59.5","7.4","11.5",".517","9.8","39.5",".247",".516","13.2","72.1",".076"
"10","10","2012-11-18","1","HOU","1","119","108","119.3","108.3","99.7",".329",".235",".611","49.4","58.7","10.0","4.5",".594","11.8","22.5",".212",".539","13.3","74.4",".122"
"11","11","2012-11-20","1","BRK","1","95","90","105.9","100.3","89.7",".507",".288",".532","48.3","65.7","5.6","8.5",".521","11.0","20.0",".260",".457","12.5","71.4",".183"
"12","12","2012-11-21","0","SAC","0","97","113","101.9","118.7","95.2",".600",".400",".590","44.6","55.2","6.3","6.1",".538","19.6","15.8",".415",".586","15.0","75.0",".222"
"13","13","2012-11-23","0","MEM","0","98","106","113.0","122.3","86.7",".324",".365",".579","41.8","57.6","6.9","7.8",".527","17.6","29.7",".270",".547","14.5","56.7",".320"
"14","14","2012-11-24","0","DAL","1","115","89","110.5","85.5","104.0",".415",".268",".593","61.0","52.5","10.6","6.3",".561","16.4","26.8",".280",".424","13.0","84.7",".120"
"15","15","2012-11-27","1","IND","0","77","79","79.7","81.7","96.7",".566",".368",".406","52.8","54.2","10.3","8.3",".355","16.7","27.3",".303",".392","15.8","80.4",".215"
