"Id","G","Date","Home","Opp","Wins","Tm","Opper","ORtg","DRtg","Pace","FTr","3PAr","TSP","TRBP","ASTP","STLP","BLKP","eFGP","TOVP","ORBP","FT_FGA","OppFGP","OppTOVP","DRBP","OppFT_FGA"
"1","1","2014-10-29","1","MIN","1","105","101","109.7","105.5","95.7",".244",".183",".578","41.3","48.8","10.4","6.8",".549","15.8","26.3",".183",".488","19.3","54.8",".198"
"2","2","2014-10-31","0","IND","1","97","89","111.4","102.2","87.1",".342",".241",".534","46.5","57.1","12.6","3.8",".487","9.0","23.9",".253",".514","18.2","72.5",".176"
"3","3","2014-11-01","0","CHO","1","71","69","76.3","74.1","93.1",".163",".138",".414","50.6","55.2","8.6","0.0",".381","17.4","18.8",".125",".389","20.0","87.8",".181"
"4","4","2014-11-03","1","NOP","1","93","81","99.7","86.8","93.3",".487",".184",".504","51.5","61.3","5.4","9.7",".434","10.7","20.5",".355",".360","10.8","75.4",".221"
"5","5","2014-11-05","0","PHO","1","102","91","111.3","99.3","91.7",".213",".213",".583","51.4","62.5","10.9","2.1",".556","15.5","21.1",".163",".522","18.7","85.3",".275"
"6","6","2014-11-07","0","OKC","1","91","89","104.5","102.2","87.1",".210",".222",".514","46.3","61.8","11.5","7.4",".475","8.3","20.9",".173",".544","16.9","74.4",".038"
"7","7","2014-11-08","0","MIL","0","92","93","104.1","105.3","88.4",".415",".171",".474","48.2","51.7","10.2","2.9",".372","11.8","35.7",".378",".483","14.7","61.0",".091"
"8","8","2014-11-11","1","LAL","1","107","102","121.2","115.5","88.3",".333",".141",".598","50.0","51.2","9.1","3.1",".551","12.7","34.3",".269",".511","12.1","63.4",".149"
"9","9","2014-11-13","1","SAC","1","111","110","123.4","122.2","90.0",".442",".117",".604","40.5","61.5","10.0","6.3",".545","8.9","20.5",".351",".526","13.2","62.9",".377"
"10","10","2014-11-15","1","DET","1","95","88","108.9","100.9","87.2",".384",".174",".473","55.2","56.3","5.7","7.1",".395","7.4","34.6",".314",".476","9.1","79.5",".122"
"11","11","2014-11-17","1","HOU","1","119","93","126.9","99.2","93.8",".256",".198",".622","52.1","58.7","14.9","11.4",".576","9.5","28.6",".233",".487","19.4","73.7",".218"
"12","12","2014-11-19","0","TOR","0","92","96","105.3","109.9","87.4",".325",".125",".503","58.8","45.7","9.2","7.0",".456","12.4","34.9",".238",".512","8.3","83.3",".133"
"13","13","2014-11-21","1","BOS","1","117","100","117.9","100.8","99.2",".154",".176",".602","56.8","64.6","4.0","6.6",".571","12.6","23.7",".143",".483","11.0","82.0",".170"
"14","14","2014-11-23","1","LAC","1","107","91","112.7","95.8","94.9",".271",".247",".562","61.9","47.6","3.2","5.8",".535","15.2","30.8",".188",".461","10.1","88.9",".260"
"15","15","2014-11-26","0","LAL","1","99","93","109.6","102.9","90.4",".313",".275",".544","51.7","69.4","7.7","9.7",".481","13.3","25.0",".275",".457","10.7","74.5",".235"
"16","16","2014-11-28","0","POR","1","112","99","119.0","105.2","94.1",".310",".155",".587","50.5","62.2","7.4","5.8",".571","8.6","21.1",".190",".443","6.3","71.7",".134"
