"Id","G","Date","Home","Opp","Wins","Tm","Opper","ORtg","DRtg","Pace","FTr","3PAr","TSP","TRBP","ASTP","STLP","BLKP","eFGP","TOVP","ORBP","FT_FGA","OppFGP","OppTOVP","DRBP","OppFT_FGA"
"1","1","2014-10-29","1","WAS","1","107","95","117.5","104.3","91.1",".284",".346",".587","55.0","51.3","9.9","5.4",".537","13.3","29.3",".247",".520","14.1","82.1",".227"
"2","2","2014-11-01","0","PHI","1","114","96","115.3","97.1","98.9",".349",".289",".595","48.6","80.5","16.2","0.0",".566","14.3","21.4",".241",".575","23.4","86.7",".284"
"3","3","2014-11-02","1","TOR","1","107","102","117.5","112.0","91.1",".543",".343",".617","60.6","62.9","6.6","9.5",".564","15.6","36.7",".400",".494","9.4","78.0",".304"
"4","4","2014-11-04","1","HOU","0","91","108","107.2","127.2","84.9",".365",".378",".530","47.2","51.6","8.2","6.5",".500","14.9","31.0",".230",".640","16.7","70.0",".309"
"5","5","2014-11-05","0","CHO","0","89","96","98.6","106.3","90.3",".403",".286",".491","42.4","63.3","6.6","6.3",".416","8.1","14.3",".325",".457","11.2","69.8",".256"
"6","6","2014-11-08","1","MIN","1","102","92","109.6","98.8","93.1",".218",".167",".597","44.9","63.4","8.6","2.8",".558","14.1","15.8",".192",".425","14.1","66.7",".207"
"7","7","2014-11-09","0","DAL","1","105","96","117.1","107.0","89.7",".263",".303",".619","48.1","73.8","7.8","5.6",".612","13.3","18.8",".158",".476","12.2","68.1",".205"
"8","8","2014-11-12","1","IND","0","75","81","95.6","103.3","78.4",".265",".294",".494","34.6","62.1","14.0","9.3",".493","10.6","14.0",".118",".425","14.8","57.9",".163"
"9","9","2014-11-14","0","ATL","0","103","114","110.6","122.5","93.1",".338",".284",".606","47.1","77.1","10.7","6.4",".541","14.1","13.2",".311",".633","13.2","90.0",".253"
"10","10","2014-11-16","1","MIL","0","84","91","89.8","97.3","93.6",".301",".342",".508","50.0","63.3","10.7","10.7",".486","17.1","14.6",".178",".507","15.8","87.2",".216"
"11","11","2014-11-17","0","BRK","1","95","83","115.3","100.7","82.4",".375",".375",".566","53.9","61.3","7.3","4.3",".493","14.3","29.4",".333",".479","12.8","73.8",".229"
"12","12","2014-11-20","1","LAC","0","93","110","105.3","124.6","88.3",".463",".388",".577","46.2","36.7","11.3","6.5",".493","13.0","16.2",".403",".643","13.3","85.7",".143"
"13","13","2014-11-22","0","ORL","1","99","92","116.2","107.9","85.2",".254",".366",".627","42.9","45.9","8.2","8.1",".606","16.9","21.2",".183",".468","13.5","59.1",".244"
"14","14","2014-11-23","1","CHO","1","94","93","106.4","105.3","88.3",".288",".348",".632","52.2","57.6","4.5","8.6",".583","17.7","9.7",".258",".513","11.3","86.8",".152"
"15","15","2014-11-25","1","GSW","0","97","114","106.6","125.3","91.0",".318",".271",".501","47.1","48.5","7.7","8.5",".447","8.5","23.1",".247",".660","11.4","84.8",".200"
"16","16","2014-11-30","0","NYK","1","86","79","100.4","92.3","85.6",".431",".319",".502","45.1","66.7","9.3","1.6",".465","14.1","25.0",".264",".369","11.0","60.8",".159"
"17","17","2014-12-01","0","WAS","0","86","107","98.8","122.9","87.1",".417",".306",".505","44.0","36.4","5.7","3.8",".472","11.4","16.7",".250",".611","12.7","78.8",".264"
"18","18","2014-12-03","1","ATL","0","102","112","110.9","121.7","92.0",".500",".250",".653","50.0","69.4","10.9","10.2",".609","18.7","13.8",".375",".622","16.0","83.9",".270"
"19","19","2014-12-05","0","MIL","0","85","109","92.6","118.8","91.8",".397",".265",".532","30.8","70.0","17.4","5.7",".493","18.4","8.3",".265",".630","23.0","58.6",".319"
"20","20","2014-12-07","0","MEM","0","87","103","105.7","125.2","82.3",".100",".200",".521","44.1","53.8","12.2","3.3",".519","11.6","24.4",".050",".644","13.4","74.1",".123"
"21","21","2014-12-09","0","PHO","1","103","97","116.9","110.1","88.1",".150",".213",".604","47.9","58.1","15.9","9.5",".594","11.4","25.0",".100",".591","21.4","71.4",".078"
"22","22","2014-12-10","0","DEN","0","82","102","97.5","121.3","84.1",".256",".268",".449","45.7","60.0","1.2","9.7",".409","9.9","32.7",".183",".494","9.4","60.5",".212"
"23","23","2014-12-12","0","UTA","1","100","95","118.0","112.1","84.7",".431",".278",".584","44.3","52.8","7.1","6.1",".549","9.5","17.9",".292",".494","11.3","70.0",".247"
