"Id","G","Date","Home","Opp","Wins","Tm","Opper","ORtg","DRtg","Pace","FTr","3PAr","TSP","TRBP","ASTP","STLP","BLKP","eFGP","TOVP","ORBP","FT_FGA","OppFGP","OppTOVP","DRBP","OppFT_FGA"
"1","1","2013-10-30","0","NYK","0","83","90","88.3","95.7","94.0",".162",".216",".523","47.7","55.9","10.6","6.9",".493","22.5","15.2",".135",".528","21.9","81.3",".211"
"2","2","2013-11-01","0","BOS","1","105","98","119.3","111.3","88.0",".405",".179",".531","44.1","51.4","11.4","11.7",".452","6.6","33.3",".345",".474","15.5","57.1",".342"
"3","3","2013-11-02","1","TOR","0","90","97","94.7","102.1","95.0",".214",".202",".490","38.8","67.6","7.4","9.1",".476","12.4","12.5",".119",".442","15.2","64.0",".359"
"4","4","2013-11-06","1","CLE","1","109","104","124.0","118.3","87.9",".361",".319",".653","51.3","69.4","3.4","7.0",".590","14.4","25.0",".333",".518","8.7","72.7",".188"
"5","5","2013-11-09","1","DAL","0","83","91","89.0","97.6","93.3",".198",".284",".471","47.2","51.6","7.5","3.4",".451","18.5","23.9",".123",".462","17.9","72.1",".244"
"6","6","2013-11-12","0","MIA","0","95","118","98.9","122.8","96.1",".266",".380",".538","45.9","57.6","10.4","1.8",".487","16.9","18.6",".228",".658","12.7","83.9",".177"
"7","7","2013-11-13","0","ORL","0","91","94","99.0","102.3","91.9",".297",".176",".544","46.4","48.5","9.8","12.5",".480","17.7","17.9",".270",".482","14.1","71.1",".183"
"8","8","2013-11-15","0","IND","0","77","104","87.6","118.3","87.9",".125",".182",".415","47.6","46.7","3.4","15.9",".386","13.9","32.7",".102",".538","12.8","71.9",".241"
"9","9","2013-11-16","1","OKC","0","79","92","86.0","100.2","91.8",".174",".256",".427","50.5","60.0","7.6","9.2",".395","14.7","26.4",".128",".445","10.5","76.0",".232"
"10","10","2013-11-20","1","POR","0","82","91","91.8","101.8","89.4",".150",".175",".481","48.3","51.4","6.7","9.1",".469","18.2","29.3",".088",".471","14.7","65.2",".116"
"11","11","2013-11-22","0","PHI","0","107","115","100.6","108.1","96.3",".258",".312",".517","39.0","82.9","8.5","6.8",".484","13.4","20.0",".183",".614","22.1","68.8",".228"
"12","12","2013-11-23","1","CHA","0","72","96","81.3","108.3","88.6",".106",".212",".405","40.9","70.0","7.9","3.2",".382","14.4","22.4",".082",".526","13.6","64.1",".195"
"13","13","2013-11-25","0","DET","0","94","113","101.8","122.4","92.3",".356",".260",".557","51.3","69.7","5.4","7.8",".493","17.6","23.8",".301",".613","10.0","85.3",".188"
"14","14","2013-11-27","1","WAS","0","92","100","95.1","103.4","87.6",".118",".294",".515","56.4","70.3","7.2","2.1",".494","19.7","27.5",".094",".568","18.5","86.8",".216"
"15","15","2013-11-29","0","CHA","0","76","92","82.6","100.0","92.0",".238",".202",".409","41.3","60.7","10.9","14.1",".363","8.8","15.6",".179",".462","15.5","66.0",".241"
"16","16","2013-11-30","1","BOS","1","92","85","104.4","96.4","88.2",".256",".218",".530","54.4","77.8","4.5","12.3",".513","13.0","26.2",".154",".440","9.9","79.2",".131"
"17","17","2013-12-03","0","BOS","0","100","108","113.7","122.8","88.0",".269",".231",".573","45.2","56.8","4.5","11.3",".526","12.1","21.6",".231",".565","11.9","69.4",".273"
"18","18","2013-12-04","1","DET","0","98","105","101.9","109.2","96.1",".242",".297",".487","43.9","69.4","10.4","20.0",".445","14.4","30.6",".187",".424","12.6","57.1",".372"
"19","19","2013-12-06","0","WAS","1","109","105","107.7","103.8","91.6",".283",".217",".527","51.1","57.1","5.9","5.4",".489","12.7","26.7",".207",".446","12.2","73.5",".373"
"20","20","2013-12-07","1","BRK","0","82","90","101.1","110.9","81.1",".301",".274",".496","46.8","66.7","3.7","5.4",".459","11.7","21.1",".205",".493","8.7","71.8",".230"
"21","21","2013-12-10","0","CHI","1","78","74","90.5","85.8","86.2",".267",".147",".465","48.1","46.7","8.1","16.2",".413","15.2","29.3",".213",".392","16.8","67.5",".108"
"22","22","2013-12-11","1","SAS","0","77","109","87.3","123.6","88.2",".274",".179",".409","41.6","55.2","7.9","5.6",".357","11.3","31.4",".202",".545","13.6","55.3",".148"
"23","23","2013-12-13","1","CHI","0","90","91","107.8","109.0","83.5",".338",".135",".529","46.3","54.5","7.2","14.0",".473","14.1","32.5",".270",".463","14.4","59.5",".198"
"24","24","2013-12-14","0","DAL","0","93","106","96.1","109.5","96.8",".235",".210",".520","48.3","41.7","8.3","6.3",".475","15.2","19.5",".198",".534","14.3","73.9",".136"
"25","25","2013-12-18","1","NYK","0","101","107","98.0","103.8","85.3",".427",".268",".518","51.4","38.2","3.9","8.3",".463","17.0","26.0",".305",".460","9.9","74.5",".139"
"26","26","2013-12-20","0","CLE","0","111","114","108.0","110.9","93.1",".250",".290",".500","48.1","55.0","6.8","9.7",".450","9.0","26.9",".210",".445","9.7","67.9",".250"
"27","27","2013-12-21","1","PHI","1","116","106","119.7","109.4","96.9",".305",".305",".624","49.4","53.5","9.3","12.9",".567","12.3","25.0",".280",".462","14.2","66.7",".215"
"28","28","2013-12-23","0","CHA","0","110","111","107.7","108.7","92.5",".175",".289",".526","54.3","69.0","7.8","9.8",".485","10.3","26.1",".165",".485","6.9","81.3",".152"
"29","29","2013-12-27","0","BRK","0","93","104","100.9","112.8","92.2",".284",".364",".470","46.7","60.6","7.6","13.2",".426","8.3","23.1",".205",".506","9.7","77.5",".304"
"30","30","2013-12-28","1","MIN","0","95","117","96.2","118.5","98.8",".191",".247",".492","45.3","62.5","12.2","9.1",".478","17.2","32.7",".112",".539","14.9","58.7",".222"
"31","31","2013-12-31","0","LAL","1","94","79","107.8","90.6","87.2",".154",".253",".484","56.7","42.5","11.5","7.0",".473","6.7","34.8",".088",".401","12.8","79.5",".173"
"32","32","2014-01-02","0","UTA","0","87","96","99.3","109.5","87.6",".184",".289",".529","44.2","58.3","9.1","6.2",".500","13.7","15.0",".145",".488","11.1","75.7",".210"
"33","33","2014-01-04","0","PHO","0","100","116","104.6","121.3","95.6",".294",".309",".651","50.0","48.6","3.1","6.9",".618","24.6","15.6",".235",".553","10.3","77.5",".259"
"34","34","2014-01-07","1","GSW","0","80","101","89.4","112.9","89.5",".225",".188",".455","39.1","64.5","8.9","5.7",".419","11.1","20.0",".163",".518","15.3","61.9",".153"
"35","35","2014-01-10","1","CHI","0","72","81","87.0","97.9","82.8",".136",".239",".386","52.2","53.6","7.3","8.7",".358","11.4","30.8",".102",".435","12.2","80.0",".435"
"36","36","2014-01-11","0","OKC","0","85","101","95.6","113.6","88.9",".173",".383",".488","40.8","68.8","7.9","6.6",".469","14.7","26.0",".111",".465","14.8","56.3",".244"
"37","37","2014-01-13","0","TOR","0","94","116","104.8","129.3","89.7",".265",".229",".507","46.5","65.7","8.9","12.5",".476","14.7","33.3",".181",".582","13.2","61.0",".304"
"38","38","2014-01-15","1","MEM","0","77","82","90.4","96.3","85.2",".146",".244",".441","54.3","71.0","5.9","8.1",".415","14.7","31.9",".110",".433","9.1","76.6",".134"
"39","39","2014-01-18","0","HOU","0","104","114","107.8","118.2","96.5",".263",".288",".583","46.5","57.5","6.2","15.5",".569","17.6","25.0",".163",".524","9.8","69.0",".294"
"40","40","2014-01-19","0","SAS","0","82","110","88.8","119.1","92.4",".193",".239",".429","40.2","57.6","10.8","10.3",".409","7.7","17.2",".114",".638","15.0","79.4",".171"
"41","41","2014-01-22","1","DET","1","104","101","104.8","101.7","99.3",".262",".321",".555","52.9","70.7","11.1","10.1",".536","16.1","27.9",".167",".452","12.4","78.6",".298"
"42","42","2014-01-24","0","CLE","0","78","93","91.9","109.6","84.9",".189",".324",".487","39.5","66.7","7.1","12.2",".453","15.8","20.5",".149",".443","10.9","55.3",".170"
"43","43","2014-01-25","1","ATL","0","87","112","93.5","120.3","93.1",".159",".256",".496","52.7","60.5","6.4","10.0",".494","17.8","29.5",".073",".612","13.0","86.7",".250"
"44","44","2014-01-27","1","LAC","0","86","114","94.8","125.7","90.7",".247",".247",".436","46.6","70.6","6.6","5.9",".404","10.0","32.1",".157",".633","16.3","68.6",".177"
"45","45","2014-01-29","1","PHO","0","117","126","120.9","130.3","96.7",".404",".213",".558","50.0","57.9","3.1","5.5",".466","7.9","28.2",".382",".615","14.0","75.8",".385"
