"Id","G","Date","Home","Opp","Wins","Tm","Opper","ORtg","DRtg","Pace","FTr","3PAr","TSP","TRBP","ASTP","STLP","BLKP","eFGP","TOVP","ORBP","FT_FGA","OppFGP","OppTOVP","DRBP","OppFT_FGA"
"1","1","2014-10-29","0","MEM","0","101","105","105.5","109.7","95.7",".267",".140",".525","58.8","51.3","8.4","6.0",".488","19.3","45.2",".198",".549","15.8","73.7",".183"
"2","2","2014-10-30","1","DET","1","97","91","107.4","100.8","90.3",".368",".132",".549","48.3","48.6","8.9","4.3",".513","12.0","23.8",".250",".456","11.0","70.2",".088"
"3","3","2014-11-01","1","CHI","0","105","106","112.6","113.7","93.3",".365",".141",".532","52.5","68.4","9.7","8.7",".471","9.2","28.3",".294",".543","13.9","85.3",".449"
"4","4","2014-11-05","0","BRK","1","98","91","101.2","94.0","96.8",".244",".189",".492","54.8","59.5","9.3","6.6",".450","9.9","27.1",".189",".488","16.7","84.4",".134"
"5","5","2014-11-07","0","ORL","0","103","112","98.1","106.6","95.1",".269",".194",".495","42.2","60.0","8.6","8.6",".452","10.3","18.4",".204",".533","17.4","70.7",".165"
"6","6","2014-11-08","0","MIA","0","92","102","98.8","109.6","93.1",".264",".184",".474","55.1","37.1","9.7","3.1",".425","14.1","33.3",".207",".558","14.1","84.2",".192"
"7","7","2014-11-12","1","HOU","0","101","113","106.7","119.4","94.7",".370",".148",".536","50.6","61.1","6.3","9.8",".481","12.1","25.0",".284",".556","11.8","71.1",".157"
"8","8","2014-11-14","0","NOP","0","91","139","91.6","139.9","99.3",".569",".194",".505","52.1","44.8","5.0","4.7",".424","19.6","26.2",".417",".756","12.5","89.7",".143"
"9","9","2014-11-15","0","DAL","0","117","131","118.3","132.4","98.9",".337",".198",".592","50.6","55.8","2.0","2.9",".541","14.7","30.0",".279",".596","6.3","70.7",".202"
"10","10","2014-11-19","1","NYK","1","115","99","124.2","106.9","92.6",".247",".247",".583","51.5","59.1","16.2","3.8",".556","12.4","37.5",".180",".558","21.3","71.4",".319"
"11","11","2014-11-21","1","SAS","0","92","121","95.3","125.3","96.6",".244",".144",".461","39.1","43.2","12.4","4.8",".433","9.9","22.0",".156",".625","17.9","62.2",".190"
"12","12","2014-11-22","1","SAC","0","101","113","107.4","120.2","94.0",".300",".189",".496","42.5","62.2","10.6","12.7",".444","8.9","29.4",".233",".543","16.0","61.1",".309"
"13","13","2014-11-26","1","MIL","0","86","103","90.9","108.8","94.6",".420",".173",".448","46.9","61.3","11.6","8.7",".401","16.5","31.8",".259",".500","15.4","64.9",".212"
"14","14","2014-11-28","0","LAL","1","120","119","122.0","121.0","98.3",".304",".228",".670","47.0","82.2","8.1","1.5",".633","16.7","20.7",".253",".584","12.4","67.6",".169"
"15","15","2014-11-30","0","POR","0","93","107","94.0","108.1","99.0",".222",".100",".471","44.3","61.5","12.1","7.5",".444","12.4","22.0",".144",".523","15.7","68.1",".198"
"16","16","2014-12-01","0","LAC","0","101","127","101.4","127.5","99.6",".488",".146",".507","39.0","74.3","9.0","6.5",".439","9.1","12.8",".354",".606","12.7","74.3",".375"
"17","17","2014-12-03","1","PHI","0","77","85","80.2","88.6","96.0",".202",".202",".421","50.5","56.7","8.3","8.6",".375","16.4","23.4",".167",".421","16.2","75.0",".195"
"18","18","2014-12-05","1","HOU","0","112","114","106.7","108.6","95.1",".278",".103",".514","50.6","51.1","11.4","10.9",".479","11.4","28.6",".196",".564","19.4","80.6",".333"
"19","19","2014-12-06","0","SAS","0","101","123","104.6","127.4","96.6",".386",".193",".520","43.4","57.1","10.4","3.1",".458","7.6","18.6",".301",".616","14.7","75.8",".268"
"20","20","2014-12-08","1","GSW","0","86","102","88.1","104.5","97.6",".330",".125",".427","49.0","68.8","12.3","5.8",".375","15.9","33.3",".227",".489","14.9","67.4",".143"
"21","21","2014-12-10","1","POR","1","90","82","98.7","89.9","91.2",".407",".148",".471","59.6","68.8","14.3","6.7",".401","15.9","42.6",".309",".450","19.0","76.6",".125"
"22","22","2014-12-12","1","OKC","0","92","111","97.8","118.0","94.1",".372",".090",".507","39.7","58.3","11.7","14.1",".468","14.2","22.5",".244",".545","14.9","57.9",".170"
"23","23","2014-12-14","1","LAL","0","94","100","99.7","106.1","94.3",".222",".111",".476","50.5","65.8","6.4","4.7",".439","12.4","29.2",".167",".451","10.3","74.4",".333"
"24","24","2014-12-16","0","WAS","0","95","109","103.0","118.2","92.2",".432",".099",".493","47.1","47.2","7.6","7.2",".463","8.5","23.4",".247",".558","9.6","75.0",".151"
"25","25","2014-12-19","0","BOS","0","98","114","106.4","123.8","92.1",".172",".129",".490","46.3","54.8","8.7","8.1",".484","11.5","32.6",".086",".612","12.5","64.7",".118"
"26","26","2014-12-21","1","IND","0","96","100","103.2","107.5","93.0",".312",".143",".548","54.4","63.9","8.6","1.5",".500","15.4","24.3",".247",".536","12.6","81.0",".119"
"27","27","2014-12-23","0","CLE","0","104","125","105.7","127.1","98.4",".330",".148",".516","51.3","64.1","13.2","15.0",".466","15.2","38.1",".250",".595","14.8","66.7",".298"
"28","28","2014-12-26","0","DEN","0","102","106","100.6","104.5","101.4",".233",".146",".449","41.5","70.7","4.9","11.8",".413","5.8","25.9",".165",".426","14.2","57.7",".263"
"29","29","2014-12-27","0","GSW","0","97","110","94.8","107.6","102.3",".468",".247",".522","52.2","85.3","9.8","8.3",".494","20.5","27.7",".273",".528","14.1","79.1",".193"
"30","30","2014-12-30","0","UTA","0","94","100","106.9","113.7","88.0",".171",".207",".533","44.2","68.4","8.0","6.7",".512","10.2","20.0",".122",".525","12.8","70.3",".215"
"31","31","2015-01-01","1","SAC","0","107","110","111.7","114.8","95.8",".242",".264",".531","47.5","52.4","12.5","9.7",".500","12.2","31.9",".176",".574","18.7","69.7",".338"
"32","32","2015-01-03","1","UTA","0","89","101","105.8","120.1","84.1",".209",".221",".474","44.0","50.0","9.5","9.1",".430","7.8","28.0",".174",".580","12.5","67.6",".187"
"33","33","2015-01-05","1","DEN","0","101","110","110.4","120.2","91.5",".202",".270",".521","50.6","55.3","7.6","6.2",".483","11.0","31.9",".169",".589","11.6","75.0",".131"
"34","34","2015-01-07","1","PHO","0","111","113","111.5","113.5","99.5",".207",".185",".553","52.9","68.2","8.0","4.3",".516","15.9","37.2",".174",".505","11.1","68.2",".167"
"35","35","2015-01-09","0","MIL","0","84","98","92.8","108.3","90.5",".215",".278",".486","50.6","68.8","14.4","5.4",".443","18.0","30.2",".177",".600","21.7","75.0",".107"
"36","36","2015-01-10","1","SAS","0","93","108","98.2","114.0","94.7",".321",".185",".503","48.3","53.1","7.4","6.7",".414","12.3","16.3",".321",".542","10.6","79.5",".202"
"37","37","2015-01-13","0","IND","1","110","101","111.3","102.2","98.8",".218",".230",".577","45.3","53.7","11.1","4.8",".529","13.6","18.4",".207",".519","15.4","73.0",".225"
"38","38","2015-01-16","0","PHO","0","99","110","109.2","121.4","90.6",".132",".242",".514","43.9","61.9","6.6","4.2",".505","9.4","29.5",".077",".580","14.8","60.5",".103"
"39","39","2015-01-17","0","DEN","1","113","105","119.4","111.0","94.6",".263",".238",".633","52.4","55.8","6.3","8.2",".588","14.4","23.5",".238",".467","9.0","72.9",".207"
"40","40","2015-01-19","0","CHO","0","80","105","85.8","112.6","93.3",".250",".238",".450","47.2","55.2","7.5","9.0",".400","15.3","21.3",".200",".517","9.3","76.2",".146"
"41","41","2015-01-21","1","DAL","0","75","98","88.1","115.1","85.2",".169",".169",".392","50.6","71.0","7.0","2.0",".360","9.5","30.8",".124",".586","10.9","81.8",".118"
"42","42","2015-01-23","1","NOP","0","84","92","91.7","100.4","91.6",".202",".107",".459","50.7","77.1","3.3","5.3",".429","12.4","22.5",".143",".519","13.1","82.9",".113"
"43","43","2015-01-25","0","ATL","0","100","112","117.7","131.9","84.9",".352",".225",".610","56.1","64.9","4.7","3.8",".563","13.7","34.4",".282",".625","10.2","76.5",".150"
"44","44","2015-01-26","0","OKC","0","84","92","88.8","97.3","94.6",".376",".153",".424","49.0","44.8","9.5","7.6",".353","11.6","28.3",".282",".442","13.4","71.4",".186"
"45","45","2015-01-28","1","BOS","1","110","98","114.8","102.3","95.8",".416",".208",".604","53.6","47.4","6.3","5.9",".532","10.8","16.7",".364",".500","12.0","81.3",".077"
