"Id","G","Date","Home","Opp","Wins","Tm","Opper","ORtg","DRtg","Pace","FTr","3PAr","TSP","TRBP","ASTP","STLP","BLKP","eFGP","TOVP","ORBP","FT_FGA","OppFGP","OppTOVP","DRBP","OppFT_FGA"
"1","1","2016-10-25","0","CLE","0","88","117","88.1","117.1","99.9",".230",".310",".459","45.2","53.1","6.0","10.2",".420","15.8","24.5",".172",".548","12.0","72.5",".149"
"2","2","2016-10-29","1","MEM","1","111","104","115.1","107.9","96.4",".513",".276",".596","50.6","60.0","4.1","6.6",".566","11.4","17.1",".329",".483","11.0","76.1",".244"
"3","3","2016-11-01","0","DET","0","89","102","93.9","107.7","94.7",".174",".256",".481","47.3","51.4","6.3","11.8",".448","10.6","17.4",".140",".506","9.2","77.8",".135"
"4","4","2016-11-02","1","HOU","0","99","118","98.8","117.7","100.2",".294",".235",".516","38.6","48.6","10.0","12.2",".482","14.3","16.7",".200",".556","15.8","58.7",".213"
"5","5","2016-11-04","0","CHI","1","117","104","130.9","116.4","89.4",".236",".236",".595","48.8","69.6","7.8","3.3",".567","4.8","28.9",".180",".488","11.1","65.9",".262"
"6","6","2016-11-06","1","UTA","0","109","114","119.8","125.2","91.0",".229",".241",".597","53.4","42.9","8.8","10.0",".554","11.6","27.0",".205",".560","10.0","80.6",".400"
"7","7","2016-11-09","1","BRK","1","110","96","108.7","94.9","101.2",".185",".326",".553","55.6","56.8","10.9","10.9",".533","12.3","21.4",".130",".487","16.5","85.4",".241"
"8","8","2016-11-11","0","BOS","0","87","115","85.8","113.4","101.4",".181",".245",".429","51.8","57.6","6.9","17.5",".383","19.8","38.2",".160",".450","12.1","65.5",".378"
"9","9","2016-11-12","0","TOR","0","107","118","108.5","119.6","98.6",".165",".237",".514","52.7","43.2","3.0","3.3",".490","13.3","34.0",".124",".512","9.9","74.4",".398"
"10","10","2016-11-14","1","DAL","1","93","77","107.2","88.8","86.8",".231",".321",".541","56.0","52.9","5.8","8.8",".494","16.5","32.6",".205",".411","11.0","77.1",".095"
"11","11","2016-11-16","1","DET","1","105","102","116.6","113.3","90.0",".204",".269",".518","56.5","57.1","8.9","14.5",".500","8.2","37.3",".129",".541","10.0","80.5",".118"
"12","12","2016-11-17","0","WAS","0","112","119","118.0","125.4","94.9",".233",".337",".591","49.3","56.1","9.5","1.8",".547","12.1","25.0",".209",".636","14.4","78.8",".198"
"13","13","2016-11-20","1","ATL","1","104","94","108.5","98.0","95.9",".159",".307",".552","51.0","50.0","8.3","1.6",".534","13.7","24.4",".114",".435","11.7","73.6",".235"
"14","14","2016-11-22","1","POR","1","107","103","107.5","103.5","99.5",".083",".302",".538","49.4","57.8","8.0","7.8",".516","11.6","23.3",".083",".477","14.1","75.0",".244"
"15","15","2016-11-25","1","CHO","1","113","111","107.6","105.7","95.1",".134",".289",".550","54.5","57.8","8.6","12.5",".521","13.5","26.5",".124",".505","11.0","80.8",".183"
"16","16","2016-11-26","0","CHO","0","102","107","103.3","108.3","98.8",".202",".323",".473","47.5","70.3","9.1","10.3",".434","6.9","20.8",".162",".488","9.2","78.3",".363"
"17","17","2016-11-28","1","OKC","0","103","112","110.1","119.7","93.5",".308",".209",".498","43.0","55.6","9.6","15.7",".429","4.6","25.0",".275",".543","12.3","62.2",".130"
"18","18","2016-11-30","0","MIN","1","106","104","112.4","110.3","94.3",".165",".352",".543","49.4","58.5","8.5","5.2",".522","11.8","29.3",".121",".468","13.7","71.1",".416"
"19","19","2016-12-02","1","MIN","1","118","114","119.7","115.6","98.6",".349",".360",".595","50.0","63.4","9.1","10.0",".547","13.1","26.8",".279",".523","12.4","71.1",".250"
"20","20","2016-12-04","1","SAC","1","106","98","106.1","98.1","99.9",".273",".330",".538","53.2","51.3","5.0","14.5",".506","15.4","29.8",".193",".366","9.0","71.0",".278"
"21","21","2016-12-06","0","MIA","1","114","103","121.9","110.2","93.5",".163",".255",".543","53.5","45.8","6.4","9.4",".526","8.7","37.5",".112",".489","9.0","68.6",".180"
"22","22","2016-12-07","1","CLE","0","94","126","100.2","134.3","93.8",".172",".356",".502","48.3","62.9","6.4","7.5",".466","14.6","26.5",".149",".625","11.4","75.0",".325"
"23","23","2016-12-09","0","SAC","1","103","100","106.1","103.0","97.1",".298",".345",".542","58.1","61.1","3.1","10.2",".488","14.4","26.7",".250",".443","6.6","87.5",".264"
"24","24","2016-12-11","0","LAL","1","118","112","119.1","113.0","99.1",".369",".262",".604","51.8","51.2","9.1","18.3",".548","9.3","20.0",".310",".534","12.5","80.0",".205"
"25","25","2016-12-13","0","PHO","0","111","113","102.6","104.4","98.0",".392",".206",".488","41.3","60.5","9.2","6.3",".428","10.3","19.6",".289",".457","13.7","66.7",".301"
"26","26","2016-12-15","0","GSW","0","90","103","91.5","104.7","98.4",".204",".226",".444","46.2","50.0","10.2","7.8",".435","9.8","25.0",".097",".516","14.6","70.0",".042"
"27","27","2016-12-17","0","DEN","0","114","127","117.3","130.7","97.2",".488",".288",".587","46.1","51.4","6.2","6.3",".488","10.2","23.1",".450",".611","8.9","70.3",".189"
"28","28","2016-12-20","1","IND","1","118","111","114.2","107.4","103.4",".239",".261",".607","50.6","54.5","5.8","11.8",".574","12.6","10.8",".193",".462","7.9","78.8",".297"
"29","29","2016-12-22","1","ORL","1","106","95","108.1","96.9","98.1",".177",".208",".512","55.9","63.4","9.2","14.3",".474","12.7","36.7",".156",".461","14.2","77.3",".133"
"30","30","2016-12-25","1","BOS","0","114","119","121.4","126.7","93.9",".310",".264",".576","55.7","26.8","5.3","10.5",".517","14.7","38.6",".276",".559","4.7","72.7",".161"
"31","31","2016-12-28","0","ATL","0","98","102","94.0","97.9","94.4",".280",".290",".469","50.0","57.1","7.7","9.5",".414","14.0","26.9",".226",".401","10.3","70.7",".208"
"32","32","2016-12-30","0","NOP","0","92","104","90.5","102.3","101.7",".172",".247",".460","54.3","51.4","6.9","10.7",".414","12.3","20.0",".161",".518","12.3","95.2",".188"
