"Id","G","Date","Home","Opp","Wins","Tm","Opper","ORtg","DRtg","Pace","FTr","3PAr","TSP","TRBP","ASTP","STLP","BLKP","eFGP","TOVP","ORBP","FT_FGA","OppFGP","OppTOVP","DRBP","OppFT_FGA"
"1","1","2012-11-02","1","DEN","1","102","89","111.1","96.9","91.8",".209",".174",".543","50.5","57.1","8.7","13.8",".517","10.5","26.8",".151",".423","12.7","70.0",".214"
"2","2","2012-11-04","1","PHO","1","115","94","121.7","99.5","94.5",".207",".120",".573","50.5","57.8","7.4","1.4",".538","9.1","31.7",".174",".456","13.9","66.0",".121"
"3","3","2012-11-06","0","CHI","0","93","99","101.6","108.2","91.5",".198",".221",".497","50.0","63.9","4.4","6.4",".465","10.5","24.4",".151",".488","8.7","78.0",".202"
"4","4","2012-11-07","0","MIN","0","75","90","82.4","98.9","91.0",".250",".150",".422","47.1","60.7","6.6","12.5",".369","17.6","26.7",".200",".493","18.2","69.0",".197"
"5","5","2012-11-09","1","BRK","0","68","107","79.3","124.8","85.7",".114",".157",".462","42.2","63.3","3.5","10.2",".457","19.7","17.5",".057",".555","10.6","65.1",".195"
"6","6","2012-11-11","0","BRK","0","74","82","82.8","91.7","89.4",".214",".155",".403","43.3","73.3","6.7","7.4",".363","10.7","20.4",".155",".417","14.4","72.1",".218"
"7","7","2012-11-13","1","NYK","0","89","99","98.1","109.2","90.7",".227",".187",".540","57.5","75.7","7.7","8.3",".527","19.5","26.5",".133",".542","9.2","84.6",".095"
"8","8","2012-11-16","0","DET","1","110","106","116.2","112.0","94.6",".191",".191",".570","59.5","61.4","7.4","4.1",".534","12.7","36.8",".169",".549","13.4","83.3",".195"
"9","9","2012-11-18","0","TOR","0","86","97","95.0","107.1","90.5",".263",".163",".482","50.0","56.3","2.2","1.6",".425","14.4","21.1",".225",".519","10.0","76.2",".175"
"10","10","2012-11-19","0","ATL","0","72","81","76.0","85.5","94.8",".171",".122",".408","53.4","54.8","6.3","7.8",".390","17.7","22.9",".098",".410","12.1","80.0",".090"
"11","11","2012-11-21","1","DET","1","90","74","95.8","78.8","93.9",".217",".241",".495","52.5","66.7","3.2","7.4",".464","13.3","20.5",".157",".347","12.9","77.2",".176"
"12","12","2012-11-23","1","CLE","1","108","104","119.8","115.4","90.1",".250",".263",".608","48.6","52.5","5.5","4.9",".569","16.9","36.4",".213",".471","11.5","58.5",".253"
