"Id","G","Date","Home","Opp","Wins","Tm","Opper","ORtg","DRtg","Pace","FTr","3PAr","TSP","TRBP","ASTP","STLP","BLKP","eFGP","TOVP","ORBP","FT_FGA","OppFGP","OppTOVP","DRBP","OppFT_FGA"
"1","1","2012-10-31","1","DEN","1","84","75","90.4","80.8","92.9",".247",".294",".446","46.5","60.0","14.0","15.7",".394","13.7","26.9",".200",".398","17.7","67.3",".057"
"2","2","2012-11-04","0","NYK","0","84","100","93.8","111.7","89.6",".127",".215",".504","51.3","41.2","8.9","4.0",".481","17.8","24.4",".101",".578","14.2","79.5",".143"
"3","3","2012-11-05","1","NYK","0","88","110","99.6","124.5","88.3",".302",".256",".452","55.1","65.5","3.4","3.8",".384","11.8","35.2",".256",".542","7.0","79.5",".226"
"4","4","2012-11-07","0","NOH","1","77","62","88.6","71.3","86.9",".060",".262",".447","47.8","54.3","5.8","12.0",".440","14.8","20.0",".036",".362","20.8","75.6",".174"
"5","5","2012-11-09","0","BOS","1","106","100","111.3","105.0","95.2",".280",".159",".575","55.1","67.5","12.6","10.6",".530","14.8","25.0",".232",".513","13.5","81.1",".289"
"6","6","2012-11-10","0","TOR","1","93","83","105.1","93.8","88.5",".342",".192",".554","56.8","61.8","9.0","7.5",".507","15.2","24.3",".260",".456","12.2","84.1",".139"
"7","7","2012-11-12","1","MIL","0","96","105","93.9","102.7","102.3",".188",".282",".522","39.2","59.5","12.7","5.0",".494","14.0","8.7",".141",".556","20.7","81.8",".200"
"8","8","2012-11-14","1","DET","0","76","94","85.3","105.4","89.1",".381",".190",".387","40.0","60.0","11.2","6.1",".327","3.9","19.6",".250",".500","16.4","69.2",".288"
"9","9","2012-11-16","1","UTA","1","99","93","113.0","106.1","87.6",".115",".207",".542","51.8","50.0","5.7","11.9",".517","9.9","26.8",".103",".488","11.0","76.2",".173"
"10","10","2012-11-18","1","CLE","1","86","79","102.0","93.7","84.3",".150",".250",".504","46.1","79.4","9.5","14.1",".481","11.4","23.1",".113",".387","14.2","64.0",".167"
"11","11","2012-11-20","1","TOR","1","106","98","116.2","107.4","91.2",".224",".282",".568","46.1","62.5","6.6","15.2",".524","7.9","20.0",".200",".476","10.4","72.7",".244"
"12","12","2012-11-21","0","CLE","0","83","92","93.4","103.6","88.8",".256",".198",".434","41.5","58.1","13.5","17.5",".384","6.8","21.6",".198",".483","14.8","65.1",".105"
"13","13","2012-11-24","1","OKC","0","109","116","113.6","120.9","86.9",".187",".220",".553","50.6","68.9","7.3","6.0",".533","13.2","33.3",".132",".477","10.3","63.3",".364"
"14","14","2012-11-25","1","PHO","1","104","101","114.1","110.8","91.2",".284",".235",".571","44.6","59.0","4.4","5.6",".537","8.1","15.8",".210",".494","11.6","75.0",".229"
"15","15","2012-11-27","1","DAL","1","100","98","108.5","106.4","92.1",".427",".187",".561","51.9","62.9","9.8","4.8",".507","16.0","31.7",".320",".488","14.2","75.0",".235"
"16","16","2012-11-30","0","CHA","1","104","98","122.2","115.1","85.1",".116",".198",".575","48.8","59.1","5.9","9.1",".558","10.0","31.7",".093",".518","9.9","66.7",".145"
