"Id","G","Date","Home","Opp","Wins","Tm","Opper","ORtg","DRtg","Pace","FTr","3PAr","TSP","TRBP","ASTP","STLP","BLKP","eFGP","TOVP","ORBP","FT_FGA","OppFGP","OppTOVP","DRBP","OppFT_FGA"
"1","1","2014-10-29","1","LAL","1","119","99","127.0","105.7","93.7",".220",".390",".662","51.3","51.1","5.3","4.1",".646","13.5","25.7",".159",".453","11.8","72.1",".244"
"2","2","2014-10-31","1","SAS","1","94","89","101.6","96.2","92.5",".299",".207",".477","52.6","42.9","2.2","9.4",".414","6.6","23.1",".253",".462","12.0","88.4",".218"
"3","3","2014-11-01","0","UTA","0","91","118","93.2","120.8","97.7",".172",".356",".486","39.5","47.2","8.2","11.3",".454","10.5","13.3",".138",".517","11.3","68.3",".307"
"4","4","2014-11-04","0","LAL","1","112","106","112.5","106.5","99.5",".341",".198",".535","51.5","68.3","6.0","9.7",".484","11.1","29.5",".264",".432","10.2","68.4",".341"
"5","5","2014-11-05","1","MEM","0","91","102","99.3","111.3","91.7",".304",".304",".582","48.6","40.6","12.0","6.3",".522","18.7","14.7",".275",".556","15.5","78.9",".163"
"6","6","2014-11-07","1","SAC","0","112","114","103.6","105.4","89.5",".255",".316",".514","41.2","45.2","6.5","9.3",".480","9.9","16.1",".184",".445","12.2","71.7",".363"
"7","7","2014-11-09","1","GSW","1","107","95","105.5","93.7","101.4",".418",".380",".572","52.0","50.0","8.9","4.4",".506","18.3","21.4",".342",".558","24.9","90.9",".261"
"8","8","2014-11-12","1","BRK","1","112","104","113.8","105.6","98.5",".358",".296",".597","54.3","51.3","10.2","3.8",".531","17.6","29.3",".321",".534","17.7","80.0",".338"
"9","9","2014-11-14","1","CHO","0","95","103","106.4","115.4","89.3",".163",".337",".515","49.5","43.2","3.4","8.0",".477","10.7","25.6",".151",".467","6.6","70.8",".198"
"10","10","2014-11-15","0","LAC","0","107","120","106.3","119.2","100.6",".232",".303",".490","47.8","68.4","8.9","7.7",".439","8.4","27.1",".202",".632","18.7","87.1",".500"
"11","11","2014-11-17","0","BOS","1","118","114","110.3","106.6","107.0",".172",".226",".590","47.6","62.5","10.3","2.6",".565","15.2","19.5",".140",".540","15.2","74.4",".230"
"12","12","2014-11-19","0","DET","1","88","86","96.4","94.2","91.3",".173",".200",".545","48.8","56.8","11.0","6.5",".520","17.4","15.2",".133",".420","12.8","70.6",".149"
"13","13","2014-11-21","0","PHI","1","122","96","125.7","98.9","97.0",".267",".360",".635","54.1","54.5","11.3","0.0",".587","11.9","27.5",".244",".487","15.5","77.8",".256"
"14","14","2014-11-22","0","IND","1","106","83","117.5","92.0","90.2",".235",".365",".565","52.0","44.7","11.1","6.6",".518","11.3","28.9",".212",".411","13.1","71.7",".167"
"15","15","2014-11-24","0","TOR","0","100","104","104.1","108.3","96.0",".131",".393",".563","53.2","56.4","6.2","4.6",".548","18.4","27.5",".095",".476","11.1","79.5",".317"
"16","16","2014-11-26","1","DEN","1","120","112","122.9","114.7","97.7",".239",".284",".617","46.6","60.0","9.2","12.3",".585","14.1","32.5",".193",".478","13.9","58.3",".289"
"17","17","2014-11-28","0","DEN","0","97","122","95.8","120.5","101.3",".341",".271",".496","37.0","42.4","3.9","7.5",".435","13.3","17.6",".271",".511","14.8","61.0",".364"
"18","18","2014-11-30","1","ORL","0","90","93","91.7","94.8","98.1",".212",".306",".484","47.8","64.7","5.1","4.9",".441","17.0","22.9",".176",".493","20.2","76.2",".237"
"19","19","2014-12-02","1","IND","1","116","99","115.7","98.7","100.3",".302",".291",".595","51.8","41.9","13.0","6.9",".570","11.0","21.4",".209",".506","17.0","81.4",".153"
"20","20","2014-12-05","0","DAL","1","118","106","126.3","113.4","93.4",".213",".325",".674","48.2","60.0","5.4","4.3",".644","12.9","20.0",".188",".477","9.8","68.0",".250"
"21","21","2014-12-06","0","HOU","0","95","100","100.3","105.6","94.7",".280",".301",".455","41.2","47.1","14.8","14.8",".403","10.3","29.6",".215",".475","18.9","55.8",".284"
"22","22","2014-12-08","0","LAC","0","120","121","112.4","113.3","96.7",".220",".407",".601","48.9","72.7","8.4","4.6",".571","13.8","16.7",".176",".505","9.2","78.3",".250"
"23","23","2014-12-09","1","MIA","0","97","103","110.1","116.9","88.1",".117",".455",".599","52.1","64.9","7.9","7.9",".591","21.4","28.6",".078",".594","11.4","75.0",".100"
"24","24","2014-12-12","1","DET","0","103","105","106.0","108.0","97.2",".229",".373",".564","44.0","41.0","11.3","7.2",".530","15.7","22.7",".181",".500","15.8","67.5",".250"
"25","25","2014-12-14","0","OKC","0","88","112","89.3","113.7","98.5",".182",".313",".412","38.8","61.8","11.2","4.8",".379","8.6","22.2",".131",".513","15.9","65.0",".375"
"26","26","2014-12-15","1","MIL","0","94","96","101.9","104.0","92.3",".360",".507",".541","56.0","56.7","13.0","8.8",".480","18.7","36.4",".293",".534","20.3","83.9",".247"
"27","27","2014-12-17","0","CHO","1","111","106","123.0","117.4","90.3",".256",".305",".608","55.1","51.2","4.4","11.3",".579","8.1","22.9",".195",".523","5.9","81.4",".186"
"28","28","2014-12-20","0","NYK","1","99","90","112.7","102.4","87.9",".295",".321",".562","48.9","42.9","11.4","4.5",".513","13.7","30.0",".244",".438","12.8","64.6",".148"
"29","29","2014-12-21","0","WAS","1","104","92","114.5","101.3","90.9",".321",".218",".584","51.7","32.5","3.3","11.6",".551","16.0","30.8",".231",".428","10.3","68.8",".253"
