"Id","G","Date","Home","Opp","Wins","Tm","Opper","ORtg","DRtg","Pace","FTr","3PAr","TSP","TRBP","ASTP","STLP","BLKP","eFGP","TOVP","ORBP","FT_FGA","OppFGP","OppTOVP","DRBP","OppFT_FGA"
"1","1","2012-10-31","1","LAL","1","116","106","123.7","113.1","93.8",".337",".241",".608","40.0","45.2","10.7","9.3",".560","11.2","25.0",".277",".556","21.8","57.1",".361"
"2","2","2012-11-02","0","OKC","0","92","106","97.2","112.0","94.6",".270",".292",".462","48.4","53.1","4.2","0.0",".410","9.9","22.0",".213",".546","11.8","80.5",".303"
"3","3","2012-11-03","0","HOU","1","95","85","92.5","82.7","93.0",".129",".258",".483","48.6","71.8","10.7","11.4",".473","14.0","20.0",".075",".380","14.8","72.9",".125"
"4","4","2012-11-05","0","DAL","0","91","114","101.8","127.5","89.4",".194",".237",".451","56.5","36.1","5.6","5.2",".414","11.4","39.7",".151",".679","9.7","92.6",".103"
"5","5","2012-11-08","1","LAC","0","90","103","100.9","115.5","89.2",".400",".267",".510","41.3","59.4","11.2","6.3",".473","12.8","20.9",".253",".552","12.9","68.8",".234"
"6","6","2012-11-10","1","SAS","0","109","112","112.1","115.2","97.2",".213",".247",".560","50.7","54.8","14.4","9.6",".528","13.3","28.6",".169",".621","20.1","80.6",".357"
"7","7","2012-11-12","1","ATL","0","87","95","90.7","99.1","95.9",".313",".277",".461","53.4","50.0","13.6","9.8",".398","17.5","31.4",".253",".487","15.3","83.8",".228"
"8","8","2012-11-13","0","SAC","1","103","86","120.9","100.9","85.2",".306",".375",".631","57.1","57.1","10.6","7.6",".583","15.5","32.4",".264",".474","13.2","76.7",".169"
"9","9","2012-11-16","1","HOU","1","119","117","118.2","116.2","91.2",".337",".291",".602","44.0","47.7","4.0","12.7",".570","13.2","24.4",".244",".517","15.0","62.8",".295"
"10","10","2012-11-18","1","CHI","1","102","94","110.2","101.6","92.5",".253",".278",".581","49.3","38.5","8.6","1.7",".551","15.4","25.6",".190",".520","18.6","80.0",".213"
"11","11","2012-11-21","0","PHO","0","87","114","96.6","126.6","90.0",".338",".247",".492","47.8","45.2","7.8","3.3",".435","18.4","31.7",".260",".643","13.3","73.1",".195"
"12","12","2012-11-23","1","MIN","1","103","95","115.4","106.4","89.3",".231",".321",".599","41.3","57.1","7.8","10.0",".609","12.3","16.7",".103",".429","12.9","61.4",".359"
"13","13","2012-11-25","0","BRK","0","85","98","95.5","110.1","89.0",".167",".218",".508","41.5","64.7","9.0","8.0",".481","16.0","22.5",".128",".451","10.6","59.5",".163"
"14","14","2012-11-26","0","DET","0","101","108","110.5","118.1","91.4",".365",".224",".512","47.2","63.9","10.9","13.8",".459","10.0","32.7",".271",".581","15.1","67.6",".188"
"15","15","2012-11-28","0","WAS","0","82","84","97.5","99.8","84.1",".209",".360",".437","51.7","46.7","11.9","5.1",".407","10.5","34.6",".140",".472","16.8","77.1",".239"
"16","16","2012-11-30","0","BOS","0","78","96","83.5","102.7","93.4",".536",".217",".457","50.7","50.0","12.8","7.0",".370","19.8","24.4",".391",".534","18.8","84.4",".247"
"17","17","2012-12-01","0","CLE","1","118","117","114.5","113.5","85.3",".223",".266",".571","46.1","54.3","6.8","14.1",".537","11.9","26.7",".181",".500","12.8","65.9",".182"
"18","18","2012-12-03","0","CHA","1","118","112","117.0","111.0","91.4",".283",".380",".570","53.9","65.1","7.9","11.5",".533","11.2","28.9",".217",".540","13.3","79.5",".193"
"19","19","2012-12-05","0","IND","0","92","99","106.3","114.3","86.6",".278",".278",".519","44.6","52.9","5.8","5.6",".468","10.1","21.4",".228",".506","12.8","68.3",".225"
"20","20","2012-12-08","1","SAC","0","80","99","87.7","108.5","91.3",".240",".280",".482","51.6","55.2","4.4","9.0",".440","17.8","23.9",".187",".471","9.5","80.0",".209"
"21","21","2012-12-10","1","TOR","1","92","74","103.4","83.2","88.9",".247",".225",".466","51.6","44.4","9.0","5.7",".404","6.6","23.4",".225",".372","14.4","80.4",".257"
