"Id","G","Date","Home","Opp","Wins","Tm","Opper","ORtg","DRtg","Pace","FTr","3PAr","TSP","TRBP","ASTP","STLP","BLKP","eFGP","TOVP","ORBP","FT_FGA","OppFGP","OppTOVP","DRBP","OppFT_FGA"
"1","1","2016-10-26","0","PHO","1","113","94","116.8","97.1","96.8",".302",".244",".580","50.0","54.5","5.2","8.2",".547","11.8","24.4",".221",".494","16.8","75.6",".234"
"2","2","2016-10-27","1","SAS","0","94","102","103.2","112.0","91.0",".543",".286",".542","50.0","78.6","7.7","0.0",".443","14.7","16.2",".457",".494","9.0","79.1",".304"
"3","3","2016-10-29","1","MIN","1","106","103","118.6","115.3","89.4",".294",".306",".552","46.3","61.5","6.7","10.4",".512","11.9","27.5",".224",".579","11.6","74.1",".314"
"4","4","2016-10-31","0","ATL","0","95","106","101.3","113.1","93.7",".253",".307",".570","46.9","72.2","10.7","12.2",".547","18.6","18.8",".173",".487","11.5","65.3",".367"
"5","5","2016-11-01","0","MIA","0","96","108","91.4","102.8","95.1",".303",".258",".476","54.1","35.3","3.8","7.0",".410","12.9","18.8",".258",".506","13.2","88.0",".244"
"6","6","2016-11-03","0","ORL","0","94","102","104.1","112.9","90.3",".213",".225",".537","47.0","44.7","8.9","1.9",".519","13.8","26.2",".138",".512","12.9","68.3",".190"
"7","7","2016-11-05","0","MIL","0","91","117","101.4","130.4","89.7",".226",".333",".493","40.4","81.8","8.9","6.1",".452","13.2","26.5",".179",".585","13.9","57.5",".256"
"8","8","2016-11-06","0","TOR","1","96","91","111.9","106.1","85.8",".397",".205",".524","52.2","61.8","4.7","9.3",".468","8.9","30.2",".295",".399","5.8","72.3",".286"
"9","9","2016-11-08","1","NOP","1","102","94","109.7","101.1","92.9",".247",".309",".568","49.4","61.5","7.5","7.9",".531","10.0","13.2",".198",".482","9.8","82.9",".155"
"10","10","2016-11-10","1","LAL","0","91","101","93.2","103.4","97.6",".235",".247",".485","50.6","52.9","13.3","6.4",".447","13.8","22.4",".176",".574","20.1","88.9",".216"
