"Id","G","Date","Home","Opp","Wins","Tm","Opper","ORtg","DRtg","Pace","FTr","3PAr","TSP","TRBP","ASTP","STLP","BLKP","eFGP","TOVP","ORBP","FT_FGA","OppFGP","OppTOVP","DRBP","OppFT_FGA"
"1","1","2014-10-29","1","ATL","1","109","102","116.6","109.1","93.5",".367",".289",".521","53.3","70.3","13.9","15.5",".456","7.9","33.3",".300",".581","16.3","76.2",".113"
"2","2","2014-11-01","0","ORL","1","108","95","115.5","101.6","93.5",".578",".253",".519","55.6","39.4","4.3","6.6",".422","6.3","32.6",".458",".512","13.3","79.5",".148"
"3","3","2014-11-02","0","MIA","0","102","107","112.0","117.5","91.1",".494",".203",".530","39.4","29.7","8.8","10.9",".494","9.4","22.0",".304",".564","15.6","63.3",".400"
"4","4","2014-11-04","1","OKC","1","100","88","111.9","98.4","89.4",".407",".383",".523","48.8","71.9","6.7","6.8",".444","9.5","25.5",".346",".569","20.0","81.8",".215"
"5","5","2014-11-05","0","BOS","1","110","107","116.3","113.2","94.5",".264",".184",".566","30.4","42.9","11.6","7.7",".523","6.7","13.6",".218",".577","23.9","51.4",".218"
"6","6","2014-11-07","1","WAS","1","103","84","110.3","90.0","93.4",".388",".275",".550","49.5","54.3","5.4","4.7",".494","12.2","22.7",".300",".380","11.8","70.9",".253"
"7","7","2014-11-09","1","PHI","1","120","88","120.3","88.2","99.7",".395",".224",".673","55.7","53.5","12.0","15.1",".612","18.3","16.7",".355",".437","15.2","76.1",".138"
"8","8","2014-11-11","1","ORL","1","104","100","108.4","104.2","96.0",".390",".273",".576","50.6","45.7","9.4","1.8",".513","11.7","13.2",".325",".556","15.4","85.4",".123"
"9","9","2014-11-13","1","CHI","0","93","100","97.9","105.3","95.0",".236",".281",".473","44.2","48.6","11.6","11.3",".438","12.5","27.1",".169",".506","17.3","65.8",".286"
"10","10","2014-11-15","1","UTA","1","111","93","127.8","107.0","86.9",".274",".250",".590","52.5","34.9","6.9","8.5",".560","7.8","31.7",".202",".473","11.1","74.4",".293"
"11","11","2014-11-19","1","MEM","1","96","92","109.9","105.3","87.4",".157",".313",".541","41.2","63.2","10.3","8.6",".512","8.3","16.7",".133",".456","12.4","65.1",".238"
"12","12","2014-11-21","1","MIL","1","124","82","134.4","88.9","92.3",".279",".291",".642","65.5","60.0","8.7","7.4",".610","14.2","40.5",".221",".405","12.0","84.0",".297"
"13","13","2014-11-22","0","CLE","1","110","93","115.1","97.3","95.6",".525",".300",".558","42.5","62.5","8.4","9.2",".450","7.5","18.6",".475",".451","16.1","70.3",".247"
"14","14","2014-11-24","1","PHO","1","104","100","108.3","104.1","96.0",".390",".207",".541","46.8","56.8","9.4","5.9",".476","11.1","20.5",".317",".548","18.4","72.5",".095"
"15","15","2014-11-26","0","ATL","1","126","115","135.8","123.9","92.8",".402",".354",".653","52.9","57.1","7.5","12.1",".598","10.2","32.4",".341",".573","12.3","73.5",".256"
"16","16","2014-11-28","1","DAL","0","102","106","106.1","110.3","96.1",".176",".363",".520","59.8","44.7","7.3","1.7",".495","14.8","32.6",".132",".529","7.7","87.0",".174"
"17","17","2014-11-30","0","LAL","0","122","129","113.0","119.5","97.8",".298",".327",".519","49.5","55.6","5.6","8.3",".476","6.4","25.0",".221",".542","8.3","76.5",".260"
"18","18","2014-12-02","0","SAC","1","117","109","128.6","119.9","90.9",".239",".261",".602","50.7","50.0","8.8","4.6",".557","11.8","38.2",".216",".540","14.1","62.9",".373"
"19","19","2014-12-03","0","UTA","1","123","104","141.4","119.5","87.0",".304",".266",".687","51.4","33.3","8.0","5.1",".646","9.1","26.7",".266",".529","7.9","69.0",".138"
"20","20","2014-12-05","1","CLE","0","91","105","102.6","118.4","88.7",".233",".279",".480","45.5","71.4","4.5","6.3",".453","10.4","29.8",".151",".542","12.2","63.4",".167"
"21","21","2014-12-08","1","DEN","1","112","107","113.1","108.1","89.7",".358",".407",".597","47.3","51.2","4.0","13.5",".562","13.0","21.1",".259",".462","10.5","65.5",".106"
"22","22","2014-12-09","0","CLE","0","101","105","120.1","124.9","84.1",".122",".280",".584","53.0","61.9","4.8","5.7",".555","14.8","38.7",".122",".551","11.1","65.7",".228"
"23","23","2014-12-12","1","IND","1","106","94","114.4","101.5","92.6",".242",".286",".526","57.1","55.3","2.2","5.2",".473","9.0","32.7",".220",".463","11.8","85.7",".250"
"24","24","2014-12-14","0","NYK","1","95","90","97.3","92.2","88.4",".231",".308",".553","49.4","66.7","14.3","4.1",".519","21.1","22.5",".179",".429","19.6","73.3",".295"
"25","25","2014-12-15","1","ORL","1","95","82","108.7","93.9","87.4",".181",".361",".530","52.0","67.6","9.2","6.8",".512","10.9","28.6",".120",".514","19.7","81.8",".081"
"26","26","2014-12-17","1","BRK","1","105","89","121.7","103.1","86.3",".238",".250",".594","49.4","58.5","7.0","7.4",".575","9.2","27.5",".163",".488","12.5","68.9",".123"
"27","27","2014-12-19","0","DET","1","110","100","115.0","104.6","95.6",".273",".307",".558","49.0","57.1","4.2","7.2",".523","7.5","20.5",".205",".479","9.9","73.1",".106"
"28","28","2014-12-21","1","NYK","1","118","108","130.3","119.3","90.5",".314",".384",".603","57.3","57.1","7.7","5.9",".570","9.3","40.0",".233",".518","10.5","77.1",".280"
"29","29","2014-12-22","0","CHI","0","120","129","125.9","135.4","95.3",".320",".300",".526","47.4","34.1","10.5","4.8",".485","5.8","38.3",".230",".581","13.7","61.3",".581"
"30","30","2014-12-27","0","LAC","1","110","98","121.9","108.6","90.2",".221",".395",".583","50.0","61.0","7.8","1.8",".552","8.7","26.1",".174",".531","13.8","77.5",".148"
"31","31","2014-12-28","0","DEN","1","116","102","124.3","109.3","93.3",".364",".261",".568","47.3","53.5","4.3","7.1",".545","5.6","27.7",".227",".448","8.9","67.4",".276"
"32","32","2014-12-30","0","POR","0","97","102","98.7","103.8","89.0",".152",".222",".459","49.0","35.0","10.2","3.4",".424","8.7","26.5",".131",".463","12.0","70.6",".147"
"33","33","2015-01-02","0","GSW","0","105","126","111.1","133.3","94.5",".233",".291",".554","45.1","57.5","7.4","1.6",".523","13.7","26.2",".174",".598","8.2","65.0",".174"
"34","34","2015-01-04","0","PHO","0","109","125","102.8","117.9","106.1",".349",".313",".569","51.2","57.9","8.5","6.1",".512","17.3","21.4",".289",".584","13.6","81.0",".236"
"35","35","2015-01-08","1","CHO","0","95","103","99.0","107.3","96.0",".301",".373",".505","47.7","60.6","2.1","9.7",".458","13.0","17.8",".229",".500","7.6","79.1",".170"
"36","36","2015-01-10","1","BOS","1","109","96","112.3","98.9","97.1",".209",".330",".549","52.7","56.1","8.2","15.4",".522","11.6","30.6",".154",".506","16.4","78.6",".145"
"37","37","2015-01-12","1","DET","0","111","114","113.5","116.6","97.8",".161",".310",".596","47.7","61.7","4.1","9.3",".580","16.2","25.6",".115",".464","6.8","65.3",".260"
"38","38","2015-01-14","1","PHI","1","100","84","105.3","88.4","95.0",".268",".354",".545","52.1","68.4","7.4","3.3",".524","15.6","22.7",".171",".406","11.4","78.0",".238"
"39","39","2015-01-16","1","ATL","0","89","110","99.5","123.0","89.4",".207",".305",".497","52.2","57.1","7.8","6.5",".463","16.0","30.0",".159",".696","18.3","85.2",".203"
"40","40","2015-01-18","1","NOP","0","93","95","100.6","102.7","92.5",".403",".347",".549","47.4","58.1","9.7","7.7",".479","15.0","18.9",".333",".506","15.8","73.2",".146"
"41","41","2015-01-19","0","MIL","1","92","89","100.3","97.1","91.7",".267",".267",".457","55.7","47.2","9.8","8.6",".433","13.0","38.5",".156",".480","15.5","75.6",".211"
"42","42","2015-01-21","0","MEM","0","86","92","97.0","103.7","88.7",".376",".329",".434","52.6","51.9","6.8","9.0",".347","12.4","36.8",".318",".466","13.0","76.3",".311"
"43","43","2015-01-23","0","PHI","1","91","86","102.6","97.0","88.7",".300",".300",".502","46.7","57.6","12.4","9.6",".450","13.4","28.3",".238",".438","16.8","65.9",".185"
"44","44","2015-01-25","1","DET","1","114","110","119.6","115.4","95.4",".358",".185",".608","45.7","53.5","9.4","8.9",".562","7.9","16.7",".284",".522","12.3","68.9",".178"
"45","45","2015-01-27","0","IND","1","104","91","115.0","100.6","90.4",".466",".356",".591","49.4","61.8","10.0","9.4",".527","10.2","20.0",".370",".457","13.2","75.6",".195"
"46","46","2015-01-28","1","SAC","1","119","102","126.2","108.2","94.3",".226",".405",".644","55.7","67.4","12.7","7.1",".613","14.8","30.6",".190",".527","16.5","82.4",".342"
"47","47","2015-01-30","0","BRK","1","127","122","123.2","118.3","93.4",".326",".283",".604","47.4","46.8","4.8","3.7",".549","7.9","20.0",".283",".505","5.9","72.0",".198"
"48","48","2015-01-31","0","WAS","1","120","116","115.0","111.2","94.5",".341",".295",".593","45.9","59.1","6.7","14.5",".563","11.4","17.6",".239",".532","18.5","70.0",".405"
"49","49","2015-02-02","1","MIL","0","75","82","84.7","92.6","88.5",".282",".346",".428","51.1","56.0","7.9","4.7",".365","14.6","26.0",".231",".456","12.1","82.5",".113"
"50","50","2015-02-04","1","BRK","0","93","109","108.8","127.5","85.5",".228",".418",".535","49.4","62.9","3.5","6.5",".506","9.4","23.7",".165",".549","8.1","74.4",".247"
"51","51","2015-02-06","1","LAC","1","123","107","136.5","118.8","90.1",".493",".400",".674","58.3","62.5","7.8","1.8",".620","10.8","30.3",".400",".526","8.0","82.1",".321"
"52","52","2015-02-08","1","SAS","1","87","82","95.3","89.9","91.3",".324",".176",".514","48.0","56.3","12.1","10.8",".459","14.2","15.8",".257",".371","12.3","67.7",".140"
"53","53","2015-02-11","1","WAS","1","95","93","105.7","103.5","89.9",".342",".342",".543","42.5","54.8","10.0","7.8",".480","12.9","20.5",".289",".488","14.8","65.1",".118"
"54","54","2015-02-20","0","ATL","1","105","80","108.4","82.6","96.9",".083",".313",".528","50.0","62.8","15.5","18.0",".516","11.6","30.0",".063",".375","18.5","68.5",".159"
"55","55","2015-02-21","0","HOU","0","76","98","72.7","93.7","104.5",".364",".234",".425","42.9","48.0","16.3","9.1",".351","20.5","14.6",".286",".452","19.1","74.4",".262"
"56","56","2015-02-23","0","NOP","0","97","100","110.2","113.6","88.1",".369",".274",".497","45.5","37.1","13.6","3.6",".446","7.6","30.8",".262",".577","16.7","66.7",".128"
"57","57","2015-02-24","0","DAL","0","92","99","95.1","102.3","96.8",".131",".310",".518","48.1","44.7","10.3","6.7",".506","16.8","17.9",".083",".532","17.9","78.9",".190"
"58","58","2015-02-27","1","GSW","0","89","113","91.2","115.8","97.6",".364",".286",".498","47.2","48.4","6.1","5.1",".429","17.5","17.4",".299",".557","11.2","79.1",".184"
"59","59","2015-02-28","0","NYK","0","98","103","105.9","111.3","92.5",".346",".358",".525","47.6","47.1","7.6","7.1",".469","11.4","21.7",".272",".487","10.7","78.9",".400"
"60","60","2015-03-02","0","PHI","1","114","103","129.1","116.6","88.3",".300",".338",".629","50.0","58.5","6.8","10.3",".581","9.0","27.8",".263",".577","14.8","72.2",".167"
