"Id","G","Date","Home","Opp","Wins","Tm","Opper","ORtg","DRtg","Pace","FTr","3PAr","TSP","TRBP","ASTP","STLP","BLKP","eFGP","TOVP","ORBP","FT_FGA","OppFGP","OppTOVP","DRBP","OppFT_FGA"
"1","1","2014-10-29","1","HOU","0","93","104","106.0","118.5","87.8",".210",".222",".526","49.3","42.1","9.1","12.0",".488","12.8","32.5",".173",".610","17.8","72.4",".130"
"2","2","2014-10-30","0","DAL","0","102","120","113.9","134.0","89.5",".217",".422",".561","47.6","61.1","6.7","0.0",".518","15.0","32.6",".193",".600","8.6","65.8",".212"
"3","3","2014-11-01","1","PHO","1","118","91","120.8","93.2","97.7",".375",".295",".575","60.5","45.2","10.2","10.7",".517","11.3","31.7",".307",".454","10.5","86.7",".138"
"4","4","2014-11-03","0","LAC","0","101","107","108.7","115.2","92.9",".312",".351",".577","55.1","66.7","4.3","3.4",".532","16.3","23.1",".247",".568","10.2","87.2",".185"
"5","5","2014-11-05","1","CLE","1","102","100","117.2","114.9","87.1",".286",".273",".588","57.7","66.7","3.4","14.3",".552","12.2","36.1",".221",".458","11.8","80.0",".472"
"6","6","2014-11-07","1","DAL","0","82","105","94.2","120.6","87.0",".279",".412",".537","49.4","65.5","4.6","9.4",".493","21.6","23.7",".221",".528","7.8","71.1",".136"
"7","7","2014-11-09","0","DET","1","97","96","107.2","106.1","90.5",".486",".208",".555","45.7","60.6","7.7","2.9",".500","11.2","21.4",".347",".419","9.6","65.4",".194"
"8","8","2014-11-10","0","IND","0","86","97","98.6","111.2","87.2",".284",".284",".517","45.7","56.3","5.7","8.0",".473","11.7","13.9",".216",".467","6.8","71.1",".144"
"9","9","2014-11-12","0","ATL","0","97","100","108.2","111.5","89.7",".140",".267",".531","39.5","65.1","13.4","14.3",".529","10.8","19.5",".070",".572","17.7","62.9",".171"
"10","10","2014-11-14","0","NYK","1","102","100","116.3","114.0","87.7",".357",".314",".630","55.7","69.4","6.8","10.8",".586","18.2","31.4",".286",".506","8.1","80.0",".207"
"11","11","2014-11-15","0","TOR","0","93","111","107.0","127.8","86.9",".400",".213",".527","47.5","66.7","5.8","4.8",".473","11.1","25.6",".293",".560","7.8","68.3",".202"
"12","12","2014-11-18","1","OKC","1","98","81","107.1","88.5","91.5",".321",".296",".530","55.6","62.9","8.7","6.6",".494","12.3","27.3",".222",".405","12.3","78.2",".155"
"13","13","2014-11-21","0","GSW","0","88","101","92.9","106.6","94.7",".232",".207",".487","52.9","74.3","12.7","8.5",".463","17.4","29.2",".146",".537","12.6","83.8",".159"
"14","14","2014-11-22","1","NOP","0","94","106","104.9","118.3","89.6",".408",".197",".561","48.8","45.5","6.7","10.5",".500","17.7","29.7",".324",".473","8.1","63.3",".194"
"15","15","2014-11-24","1","CHI","0","95","97","105.8","108.0","89.8",".116",".105",".525","53.9","52.4","10.0","11.5",".506","12.6","28.2",".093",".563","16.3","81.1",".222"
"16","16","2014-11-26","0","OKC","0","82","97","90.2","106.6","91.0",".400",".229",".498","45.8","35.5","9.9","3.5",".464","18.8","19.5",".243",".554","15.5","71.4",".060"
"17","17","2014-11-29","1","LAC","0","96","112","109.6","127.9","87.6",".440",".280",".536","50.0","55.9","6.9","3.8",".500","12.7","30.0",".280",".631","11.3","73.5",".138"
"18","18","2014-12-01","1","DEN","0","101","103","107.2","109.3","94.2",".357",".214",".520","55.2","50.0","3.2","9.8",".470","12.6","31.1",".262",".523","9.6","81.0",".138"
"19","19","2014-12-03","1","TOR","0","104","123","119.5","141.4","87.0",".172",".322",".556","48.6","50.0","8.0","8.6",".529","7.9","31.0",".138",".646","9.1","73.3",".266"
"20","20","2014-12-05","1","ORL","0","93","98","113.1","119.1","82.3",".266",".203",".527","51.9","63.9","4.9","10.5",".506","11.1","31.0",".165",".547","8.8","75.7",".230"
"21","21","2014-12-08","0","SAC","0","92","101","98.4","108.1","93.5",".468",".215",".483","43.8","62.5","7.5","10.6",".424","12.0","23.9",".316",".493","15.1","70.6",".378"
"22","22","2014-12-09","1","SAS","1","100","96","104.5","100.3","95.7",".275",".175",".558","53.8","45.0","5.2","10.9",".525","16.7","23.5",".200",".488","12.1","76.1",".167"
"23","23","2014-12-12","1","MIA","0","95","100","112.1","118.0","84.7",".286",".364",".548","55.7","47.1","4.7","11.5",".494","11.3","30.0",".247",".549","9.5","82.1",".292"
"24","24","2014-12-14","0","WAS","0","84","93","90.8","100.6","92.5",".359",".218",".465","52.3","43.3","8.7","9.9",".417","15.8","27.9",".244",".512","14.4","76.7",".083"
"25","25","2014-12-16","0","NOP","0","111","119","121.5","130.3","91.3",".211",".167",".564","53.6","42.2","6.6","11.1",".528","13.2","43.9",".178",".646","15.5","67.9",".215"
"26","26","2014-12-17","0","MIA","1","105","87","120.3","99.7","87.3",".364",".379",".686","55.1","65.7","4.6","9.4",".636","19.0","20.7",".318",".414","11.2","80.0",".414"
"27","27","2014-12-19","0","ORL","1","101","94","112.6","104.8","89.7",".329",".151",".604","55.3","61.5","4.5","8.2",".562","15.2","21.9",".260",".518","12.0","79.5",".096"
"28","28","2014-12-20","0","CHO","0","86","104","104.0","125.8","82.7",".176",".365",".469","44.3","54.5","3.6","7.7",".435","8.9","27.7",".141",".534","5.0","63.4",".126"
"29","29","2014-12-22","0","MEM","1","97","91","111.9","105.0","86.7",".360",".253",".558","59.0","58.8","0.0","7.9",".513","11.2","25.6",".267",".483","4.3","88.6",".093"
"30","30","2014-12-27","1","PHI","1","88","71","97.2","78.4","90.5",".333",".274",".457","55.6","56.7","12.2","20.8",".381","11.1","29.2",".286",".358","15.6","80.4",".243"
"31","31","2014-12-29","0","LAC","0","97","101","102.3","106.6","94.8",".239",".207",".477","55.9","68.4","7.4","5.2",".457","11.3","34.6",".141",".519","13.4","82.9",".210"
"32","32","2014-12-30","1","MIN","1","100","94","113.7","106.9","88.0",".278",".241",".564","55.8","42.1","5.7","4.6",".525","12.8","29.7",".215",".512","10.2","80.0",".122"
