"Id","G","Date","Home","Opp","Wins","Tm","Opper","ORtg","DRtg","Pace","FTr","3PAr","TSP","TRBP","ASTP","STLP","BLKP","eFGP","TOVP","ORBP","FT_FGA","OppFGP","OppTOVP","DRBP","OppFT_FGA"
"1","1","2012-10-30","0","CLE","0","84","94","95.5","106.9","87.9",".222",".356",".425","41.9","81.3","12.5","16.9",".400","10.8","33.3",".133",".500","18.4","53.8",".190"
"2","2","2012-11-03","1","BOS","0","86","89","94.5","97.8","91.0",".218",".256",".503","56.8","58.8","7.7","6.3",".474","14.9","19.4",".154",".476","9.1","86.7",".107"
"3","3","2012-11-07","0","BOS","0","94","100","90.7","96.4","93.9",".074",".305",".479","50.0","64.1","7.7","8.8",".463","16.2","20.8",".063",".444","14.3","85.0",".346"
"4","4","2012-11-09","1","MIL","0","91","101","93.5","103.8","97.3",".282",".231",".519","48.6","67.6","13.4","6.3",".462","18.6","23.8",".244",".551","19.6","81.3",".192"
"5","5","2012-11-10","0","IND","0","85","89","97.0","101.5","87.7",".089",".304",".518","45.5","74.3","5.7","7.8",".506","12.8","12.8",".063",".469","11.7","71.4",".175"
"6","6","2012-11-13","0","CHA","0","76","92","83.8","101.4","90.7",".381",".369",".387","50.0","72.0","5.5","15.4",".327","14.8","32.7",".250",".417","11.5","71.1",".346"
"7","7","2012-11-14","0","DAL","0","101","107","112.8","119.5","89.5",".136",".333",".588","45.9","61.5","8.9","6.0",".562","15.7","25.7",".123",".519","12.3","64.1",".333"
"8","8","2012-11-17","1","UTA","0","76","83","89.5","97.7","84.9",".141",".188",".421","42.3","58.1","11.8","8.2",".394","14.2","32.0",".106",".390","15.3","51.9",".232"
"9","9","2012-11-19","1","IND","0","89","96","96.4","104.0","92.3",".356",".195",".442","43.9","41.9","10.8","3.9",".379","9.0","26.9",".264",".507","19.5","73.3",".357"
"10","10","2012-11-21","0","ATL","0","100","101","101.0","102.0","89.7",".270",".225",".502","61.1","52.6","8.1","9.0",".466","16.7","41.3",".191",".484","11.4","79.6",".130"
"11","11","2012-11-24","1","CHA","0","106","108","99.1","100.9","88.6",".419",".290",".481","57.0","61.8","10.3","9.1",".398","14.7","34.0",".344",".482","14.7","87.5",".337"
"12","12","2012-11-26","1","SAS","0","92","118","101.4","130.1","90.7",".189",".156",".472","48.2","37.8","11.0","3.5",".433","9.3","31.3",".156",".644","14.5","71.4",".188"
"13","13","2012-11-28","1","POR","1","84","82","99.8","97.5","84.1",".268",".169",".529","48.3","58.1","8.3","3.6",".472","16.8","22.9",".239",".407","10.5","65.4",".140"
"14","14","2012-11-30","0","NYK","0","87","108","96.5","119.8","90.2",".269",".231",".499","56.8","31.4","5.5","7.7",".481","16.3","31.0",".154",".605","8.4","90.6",".123"
"15","15","2012-12-04","1","MIA","1","105","101","112.8","108.5","93.1",".367",".241",".572","50.6","81.6","7.5","4.9",".525","9.8","20.5",".278",".506","11.1","75.0",".124"
"16","16","2012-12-07","0","ATL","0","95","104","106.3","116.4","89.3",".253",".203",".541","40.5","61.1","6.7","6.8",".500","11.1","17.9",".203",".541","13.0","62.5",".141"
"17","17","2012-12-08","1","GSW","0","97","101","100.6","104.8","96.4",".264",".287",".499","39.4","62.2","11.4","6.8",".477","7.6","13.7",".161",".488","17.0","69.8",".272"
"18","18","2012-12-11","0","NOH","1","77","70","83.7","76.1","92.0",".280",".232",".418","47.6","51.9","3.3","9.4",".360","13.2","19.2",".220",".350","14.3","76.5",".175"
"19","19","2012-12-12","0","HOU","0","93","99","93.8","99.9","99.1",".225",".281",".475","49.5","51.4","10.1","15.4",".433","11.7","19.6",".180",".507","16.8","85.7",".289"
"20","20","2012-12-14","1","LAL","0","96","102","101.8","108.1","94.3",".241",".253",".523","51.6","52.8","6.4","7.5",".482","17.1","28.9",".193",".500","12.1","72.9",".244"
"21","21","2012-12-15","0","MIA","0","72","102","81.9","116.1","87.9",".208",".278",".458","48.2","59.3","9.1","0.0",".424","21.1","23.8",".153",".557","12.0","73.2",".177"
"22","22","2012-12-18","1","ATL","0","95","100","96.8","101.9","88.9",".232",".189",".454","50.0","77.8","10.2","13.0",".411","11.0","27.3",".179",".494","13.9","79.1",".295"
"23","23","2012-12-19","0","ORL","0","83","90","92.8","100.6","89.5",".104",".221",".515","44.2","58.8","5.6","8.2",".500","15.7","11.6",".078",".469","12.8","76.7",".173"
"24","24","2012-12-21","0","DET","0","68","100","75.0","110.3","90.6",".153",".141",".375","44.2","53.6","4.4","6.1",".341","11.7","22.2",".118",".478","10.8","68.0",".156"
"25","25","2012-12-22","1","DET","0","87","96","95.1","104.9","91.5",".416",".273",".478","42.6","69.0","7.7","4.3",".403","10.8","20.4",".325",".455","14.9","63.5",".182"
"26","26","2012-12-26","1","CLE","0","84","87","95.4","98.8","88.1",".184",".237",".511","57.3","62.9","4.5","10.9",".487","19.6","31.6",".132",".439","9.8","76.5",".183"
"27","27","2012-12-28","1","ORL","1","105","97","113.2","104.6","92.8",".193",".227",".550","53.4","59.5","6.5","13.8",".511","9.5","25.6",".170",".512","12.5","80.0",".105"
"28","28","2012-12-29","0","CHI","0","77","87","86.2","97.4","89.4",".212",".118",".414","53.3","61.3","2.2","5.6",".382","14.7","30.8",".141",".431","7.8","75.5",".138"
"29","29","2013-01-01","1","DAL","0","94","103","104.3","114.2","90.2",".329",".329",".520","51.2","71.9","3.3","6.7",".468","13.4","26.1",".253",".561","10.1","80.0",".134"
"30","30","2013-01-02","0","IND","0","81","89","85.5","94.0","94.7",".120",".157",".463","46.1","68.6","9.5","9.8",".440","17.9","17.8",".096",".409","15.0","75.0",".338"
"31","31","2013-01-04","1","BRK","0","113","115","101.8","103.6","91.9",".341",".198",".540","43.2","62.8","11.7","6.2",".522","13.3","14.3",".198",".506","16.0","73.9",".281"
"32","32","2013-01-06","0","MIA","0","71","99","84.1","117.3","84.4",".173",".259",".407","43.8","69.0","8.3","3.3",".395","8.4","20.0",".086",".512","9.2","74.4",".183"
"33","33","2013-01-07","1","OKC","1","101","99","111.3","109.1","90.7",".207",".207",".532","50.6","52.6","5.5","9.1",".494","12.9","29.5",".172",".463","10.6","71.1",".313"
"34","34","2013-01-12","1","ATL","1","93","83","97.2","86.7","95.7",".342",".139",".512","57.3","47.2","9.4","7.4",".468","15.8","27.3",".241",".429","15.2","86.7",".205"
"35","35","2013-01-14","1","ORL","1","120","91","128.3","97.3","93.5",".305",".134",".645","52.5","69.6","8.6","8.7",".604","10.6","25.0",".256",".454","13.0","75.0",".138"
"36","36","2013-01-16","0","SAC","0","94","95","98.9","99.9","95.1",".128",".198",".517","48.8","82.1","7.4","6.8",".500","15.8","25.6",".093",".512","16.6","73.2",".094"
"37","37","2013-01-18","0","DEN","1","112","108","113.0","109.0","99.1",".350",".288",".607","57.0","63.4","9.1","13.2",".581","17.8","32.4",".238",".530","12.5","78.6",".226"
"38","38","2013-01-19","0","LAC","0","87","94","93.9","101.5","92.6",".351",".260",".489","42.6","65.6","8.6","8.3",".468","16.8","23.4",".195",".392","9.4","59.3",".226"
"39","39","2013-01-21","0","POR","1","98","95","106.7","103.4","91.9",".202",".226",".536","51.2","59.0","6.5","1.8",".512","14.1","25.6",".143",".500","12.8","76.7",".173"
"40","40","2013-01-23","0","UTA","0","88","92","90.0","94.1","97.7",".302",".209",".452","50.0","64.5","9.2","9.6",".401","13.3","22.2",".221",".465","13.0","81.3",".153"
"41","41","2013-01-25","1","MIN","1","114","101","117.9","104.5","96.7",".205",".205",".630","42.2","60.4","8.3","10.8",".627","15.0","18.8",".120",".460","13.5","56.9",".227"
